Date,Price,Open,High,Low,Vol.,Change %
1/2/2018,20664.30,19516.30,20664.30,19286.70,3.65M,5.88%
1/3/2018,20511.20,20664.30,20702.50,20281.60,3.09M,-0.74%
1/4/2018,21085.20,20511.20,21200.00,20319.90,5.56M,2.80%
1/5/2018,20970.40,21046.90,21085.20,20626.00,2.40M,-0.54%
1/8/2018,21314.80,21200.00,21582.70,20970.40,2.58M,1.64%
1/9/2018,20970.40,21314.80,21391.30,19898.90,5.30M,-1.62%
1/10/2018,21008.70,20970.40,21620.90,20893.90,3.54M,0.18%
1/11/2018,21123.50,21046.90,21238.30,20779.10,1.97M,0.55%
1/12/2018,20855.60,20817.30,21085.20,20740.80,3.13M,-1.27%
1/15/2018,20893.90,20702.50,21200.00,20472.90,2.25M,0.18%
1/16/2018,21200.00,20932.10,21353.10,20855.60,2.98M,1.47%
1/17/2018,20664.30,21200.00,21506.10,20664.30,3.58M,-2.53%
1/18/2018,20740.80,20358.10,20740.80,20128.50,2.31M,0.37%
1/19/2018,20587.70,20817.30,20893.90,20358.10,4.47M,-0.74%
1/22/2018,21774.00,20587.70,21888.80,20549.50,6.34M,5.76%
1/25/2018,23266.40,22271.50,23266.40,22041.90,10.04M,6.85%
1/26/2018,24873.70,24873.70,24873.70,24108.30,7.14M,6.91%
1/29/2018,26480.90,25256.30,26595.70,25256.30,5.53M,6.46%
1/30/2018,27552.40,25141.50,27552.40,25141.50,4.13M,4.05%
1/31/2018,26174.70,28470.80,28509.00,26174.70,2.21M,-5.00%
2/1/2018,25792.10,26404.30,26442.60,25179.80,2.38M,-1.46%
2/2/2018,25792.10,25485.90,26251.30,25332.90,2.23M,0.00%
2/5/2018,23993.50,25409.40,25562.50,23993.50,3.51M,-6.97%
2/6/2018,22348.00,22348.00,23572.60,22348.00,4.17M,-6.86%
2/7/2018,23878.70,23878.70,23878.70,22960.30,2.59M,6.85%
2/8/2018,24644.10,23878.70,25103.30,23878.70,2.57M,3.21%
2/9/2018,24720.60,22960.30,25256.30,22922.00,2.26M,0.31%
2/12/2018,26442.60,25256.30,26442.60,24873.70,2.97M,6.97%
2/13/2018,27093.20,27858.50,27935.00,26787.00,3.09M,2.46%
2/21/2018,28623.80,27552.40,28968.20,27246.20,2.69M,5.65%
2/22/2018,28164.60,28317.70,29542.20,28126.40,3.59M,-1.60%
2/23/2018,28394.20,28317.70,28700.40,27475.80,4.56M,0.82%
2/26/2018,29159.60,29006.50,29657.10,28623.80,4.42M,2.70%
2/27/2018,29197.80,29159.60,29695.30,28776.90,2.79M,0.13%
2/28/2018,29848.40,29006.50,30231.10,28815.20,5.69M,2.23%
3/1/2018,28930.00,29542.20,30307.60,28700.40,3.31M,-3.08%
