Date,Price,Open,High,Low,Vol.,Change %
12/23/2013,4410.70,"4,410.70","4,500.70","4,410.70",203.99K,0.00%
12/24/2013,4500.70,"4,410.70","4,500.70","4,320.70",158.69K,2.04%
12/25/2013,4410.70,"4,500.70","4,500.70","4,320.70",75.31K,-2.00%
12/26/2013,4410.70,"4,410.70","4,500.70","4,320.70",190.42K,0.00%
12/27/2013,4320.70,"4,410.70","4,500.70","4,320.70",71.31K,-2.04%
12/30/2013,4230.70,"4,410.70","4,410.70","4,230.70",124.02K,-2.08%
12/31/2013,4320.70,"4,230.70","4,320.70","4,230.70",200.60K,2.13%
1/2/2014,4320.70,"4,320.70","4,410.70","4,230.70",86.42K,0.00%
1/3/2014,4320.70,"4,320.70","4,410.70","4,230.70",50.15K,0.00%
1/6/2014,4320.70,"4,320.70","4,320.70","4,230.70",76.16K,0.00%
1/7/2014,4410.70,"4,410.70","4,500.70","4,410.70",305.44K,2.08%
1/8/2014,4500.70,"4,410.70","4,590.70","4,320.70",384.08K,2.04%
1/9/2014,4770.80,"4,590.70","4,770.80","4,590.70",1.02M,6.00%
1/10/2014,4590.70,"4,680.80","4,770.80","4,590.70",384.46K,-3.78%
1/13/2014,4590.70,"4,590.70","4,680.80","4,500.70",287.37K,0.00%
1/14/2014,4410.70,"4,590.70","4,590.70","4,410.70",237.69K,-3.92%
1/15/2014,4410.70,"4,320.70","4,500.70","4,230.70",1.26M,0.00%
1/16/2014,4320.70,"4,410.70","4,410.70","4,230.70",198.30K,-2.04%
1/17/2014,4320.70,"4,320.70","4,410.70","4,230.70",323.13K,0.00%
1/20/2014,4230.70,"4,320.70","4,410.70","4,230.70",352.63K,-2.08%
1/21/2014,4320.70,"4,140.70","4,320.70","4,140.70",173.09K,2.13%
1/22/2014,4320.70,"4,320.70","4,320.70","4,230.70",144.07K,0.00%
1/23/2014,4320.70,"4,320.70","4,320.70","4,230.70",49.61K,0.00%
1/24/2014,4320.70,"4,230.70","4,320.70","4,230.70",296.14K,0.00%
1/27/2014,4230.70,"4,230.70","4,410.70","4,230.70",177.22K,-2.08%
2/6/2014,4320.70,"4,230.70","4,410.70","4,230.70",140.33K,2.13%
2/7/2014,4320.70,"4,320.70","4,410.70","4,230.70",245.52K,0.00%
2/10/2014,4410.70,"4,230.70","4,410.70","4,230.70",113.37K,2.08%
2/11/2014,4230.70,"4,410.70","4,410.70","4,230.70",437.14K,-4.08%
2/12/2014,4410.70,"4,320.70","4,410.70","4,320.70",224.04K,4.25%
2/13/2014,4500.70,"4,500.70","4,500.70","4,320.70",539.53K,2.04%
2/14/2014,4590.70,"4,500.70","4,680.80","4,500.70",492.29K,2.00%
2/17/2014,4590.70,"4,590.70","4,680.80","4,500.70",398.50K,0.00%
2/18/2014,4680.80,"4,590.70","4,680.80","4,500.70",679.74K,1.96%
2/19/2014,4590.70,"4,680.80","4,680.80","4,500.70",406.83K,-1.92%
2/20/2014,4500.70,"4,500.70","4,680.80","4,410.70",674.35K,-1.96%
2/21/2014,4410.70,"4,500.70","4,500.70","4,320.70",264.84K,-2.00%
2/24/2014,4500.70,"4,500.70","4,590.70","4,410.70",237.90K,2.04%
