Date,Price,Open,High,Low
2016-01-02,21930,22307,22361,21930
2016-01-03,21930,22091,22361,21930
2016-01-04,22037,22091,22307,21983
2016-01-06,25270,25055,25324,25055
2016-01-07,25593,25486,25755,25324
2016-01-08,28557,29096,29096,28557
2016-01-09,28288,29365,29635,27749
2016-01-11,26641,26567,26864,26493
2016-01-12,26159,26344,26344,26122
2016-01-20,21552,21552,22091,21283
2016-01-21,21229,21283,21552,21067
2016-01-22,21337,21552,21606,20798
2016-01-25,22468,21552,22576,21552
2016-01-26,21876,21822,22253,21714
2016-01-27,21822,22253,22253,21822
2016-01-28,21822,21714,21983,21714
2016-01-29,22307,21822,22307,21714
2016-02-02,21768,21768,21983,21714
2016-02-03,22468,22145,22576,22091
2016-02-06,25378,25216,25486,25109
2016-02-08,27749,28557,28557,27479
2016-02-11,26270,26567,26678,26270
2016-02-12,26196,26122,26233,26047
2016-02-15,21714,21445,21876,21229
2016-02-16,21714,21606,21983,21606
2016-02-17,21445,21714,21876,21445
2016-02-18,21714,21552,22037,21499
2016-02-19,21606,21876,21876,21606
2016-02-22,21768,21606,21822,21552
2016-02-23,22091,21930,22415,21930
2016-02-24,22792,22091,23169,21930
2016-02-25,22522,22899,23169,22415
2016-02-26,22630,22630,22630,22253
2016-02-29,22091,22522,22630,22091
2016-03-02,21337,21552,21552,21175
2016-03-03,22415,22576,22684,22361
2016-03-06,25486,25324,25593,25324
2016-03-08,27210,27479,27749,26671
2016-03-10,28125,28422,28645,27977
2016-03-11,25973,26084,26159,25788
2016-03-14,22468,22468,22468,22253
2016-03-15,22630,22361,22684,22361
2016-03-16,23277,22684,23438,22684
2016-03-17,23007,23438,23546,23007
2016-03-18,22899,22953,23061,22738
2016-03-21,23115,23330,23654,23061
2016-03-22,23330,23169,23330,23061
2016-03-23,23115,23330,23330,23061
2016-03-24,22684,23115,23169,22630
2016-03-25,23061,22630,23061,22415
2016-03-28,23061,23115,23169,22953
2016-03-29,22630,23115,23115,22630
2016-03-30,22684,22415,22792,22415
2016-03-31,22091,22630,22738,22091
2016-04-02,21552,21552,21876,21552
2016-04-03,22522,22415,22899,22361
2016-04-04,22037,22199,22253,21822
2016-04-05,24839,24678,25162,24354
2016-04-07,26509,25593,26617,25593
2016-04-08,28018,27479,29096,27210
2016-04-10,28125,28125,28645,28051
2016-04-11,25973,26122,26122,25899
2016-04-13,22576,22792,22846,22522
2016-04-14,22792,22576,22899,22522
2016-04-15,22899,22899,23438,22792
2016-04-19,22846,22953,23330,22738
2016-04-20,23061,22899,23061,22684
2016-04-21,23115,23061,23277,22953
2016-04-22,24624,23115,24678,23115
2016-04-25,24731,24731,25216,24731
2016-04-26,25432,24516,25432,24516
2016-04-27,24785,25432,25593,24731
2016-04-28,24893,24785,25216,24624
2016-04-29,24785,24570,25216,24570
2016-05-02,21606,21337,21768,21337
2016-05-04,22091,22037,22307,21930
2016-05-05,25378,25055,25755,24947
2016-05-07,27210,26617,28018,26617
2016-05-08,27479,28288,28288,27210
2016-05-09,27210,28288,28288,26833
2016-05-10,28348,28570,28645,28311
2016-05-12,25899,26047,26084,25899
2016-05-13,25647,25863,26025,25324
2016-05-16,26025,25540,26025,25432
2016-05-17,26025,25971,26294,25809
2016-05-18,26402,26025,26833,25971
2016-05-19,25917,26402,26402,25917
2016-05-20,25540,26186,26294,25432
2016-05-23,24839,25486,25755,24839
2016-05-24,24731,25001,25055,24516
2016-05-25,24785,25055,25162,24785
2016-05-26,24408,24785,24947,24408
2016-05-27,24408,24462,24570,24139
2016-05-30,25216,24624,25216,24462
2016-05-31,25162,25270,25593,25109
2016-06-04,22630,22091,22630,22037
2016-06-05,26186,25540,26294,25432
2016-06-06,25755,25378,26132,25378
2016-06-07,26941,26941,27749,26887
2016-06-09,27210,27479,27749,26941
2016-06-10,28459,28348,28682,28348
2016-06-12,25342,25936,25936,25231
2016-06-13,26078,26132,26348,26025
2016-06-14,26025,25917,26186,25755
2016-06-15,25755,25971,25971,25701
2016-06-16,25701,25809,25917,25647
2016-06-17,25378,25486,25701,25378
2016-06-20,25270,25378,25486,24947
2016-06-21,25324,25270,25378,25216
2016-06-22,25216,25324,25378,25055
2016-06-23,25863,25270,25863,25216
2016-06-24,25216,25809,25863,24085
2016-06-27,24893,25001,25001,24462
2016-06-28,25001,24678,25216,24678
2016-06-29,25486,25109,25540,25109
2016-06-30,25486,25378,25593,25324
2016-07-03,22522,22630,22738,22468
2016-07-04,22468,22738,22738,22145
2016-07-06,25917,25863,26025,25701
2016-07-07,27479,27210,27479,26833
2016-07-09,27210,27479,28018,26941
2016-07-10,28162,28533,28682,28051
2016-07-11,26901,26047,26938,26010
2016-07-12,25528,25342,25528,25342
2016-07-13,30982,29096,30982,29096
2016-07-14,30173,31251,31520,30173
2016-07-15,29096,30173,30712,29096
2016-07-18,29904,28826,30173,28557
2016-07-19,30173,30173,30712,29635
2016-07-20,29635,30443,30443,29096
2016-07-21,29904,29635,29904,28557
2016-07-22,28018,29635,29904,28018
2016-07-25,28557,28018,28826,27749
2016-07-26,28557,28557,29096,28018
2016-07-27,29365,28288,29365,28288
2016-07-28,29635,29365,29635,28826
2016-07-29,29096,29365,29635,28826
2016-08-03,22415,22522,22630,22307
2016-08-04,22307,22361,22468,22253
2016-08-06,25809,25917,26186,25755
2016-08-07,27479,27479,28288,26941
2016-08-08,28018,27749,28018,27210
2016-08-09,27210,27479,27479,26941
2016-08-11,27012,27012,27049,26715
2016-08-12,25973,25528,26307,25379
