Date,Price,Open,High,Low
20/01/2016,11656,11931,11931,11656
21/01/2016,11311,11587,11725,11242
22/01/2016,11104,11311,11380,10897
25/01/2016,11862,11380,11862,11380
26/01/2016,12000,11725,12000,11587
27/01/2016,12069,12000,12276,12000
28/01/2016,11862,12069,12138,11862
29/01/2016,11862,11862,11931,11725
1/2/2016,11794,12138,12138,11794
2/2/2016,11794,11794,12000,11725
3/2/2016,11725,11656,11794,11518
4/2/2016,11862,11862,11862,11725
5/2/2016,11862,11862,11931,11862
15/02/2016,11862,11656,11931,11656
16/02/2016,11794,11862,11931,11794
17/02/2016,11794,11794,11862,11725
18/02/2016,12000,11794,12000,11725
19/02/2016,11862,11931,12000,11862
22/02/2016,11862,11931,12000,11725
23/02/2016,11794,11931,12000,11794
24/02/2016,12552,11725,12552,11725
25/02/2016,12690,12690,12759,12414
26/02/2016,12621,12621,12690,12552
29/02/2016,12276,12552,12552,12276
1/3/2016,12138,12276,12414,12138
2/3/2016,12345,12207,12414,12207
3/3/2016,12414,12414,12483,12276
4/3/2016,12276,12414,12483,12276
7/3/2016,12276,12414,12414,12207
8/3/2016,12207,12207,12345,12069
9/3/2016,12000,12207,12276,12000
10/3/2016,12069,12069,12138,12000
11/3/2016,12000,12138,12207,12000
14/03/2016,12000,12138,12138,11931
15/03/2016,11931,12000,12000,11794
16/03/2016,11931,11931,12069,11862
17/03/2016,12000,12000,12138,11931
18/03/2016,11931,12000,12069,11931
21/03/2016,11931,12000,12207,11931
22/03/2016,11794,11862,12000,11794
23/03/2016,11862,11794,11931,11794
24/03/2016,11656,11931,11931,11656
25/03/2016,11656,11656,11725,11449
28/03/2016,11656,11794,11794,11587
29/03/2016,11449,11656,11656,11449
30/03/2016,11518,11518,11518,11380
31/03/2016,11311,11518,11518,11242
1/4/2016,11242,11311,11380,11173
4/4/2016,11380,11242,11380,11173
5/4/2016,11311,11311,11449,11242
6/4/2016,11518,11311,11518,11242
7/4/2016,11518,11587,11587,11380
8/4/2016,11518,11587,11587,11449
11/4/2016,11380,11587,11587,11311
12/4/2016,11173,11380,11449,11104
13/04/2016,11173,11173,11242,11035
14/04/2016,11104,11173,11311,11104
15/04/2016,11173,11104,11242,11104
19/04/2016,11035,11242,11242,10966
20/04/2016,11035,11035,11104,10897
21/04/2016,11035,11104,11104,10966
22/04/2016,11587,11035,11794,10966
25/04/2016,11794,11725,12000,11725
26/04/2016,11656,11794,11862,11587
27/04/2016,11380,11725,11725,11380
28/04/2016,11173,11311,11380,11104
29/04/2016,11449,11104,11656,11104
4/5/2016,11311,11449,11518,11242
5/5/2016,11518,11449,11656,11311
6/5/2016,11931,11518,12000,11518
9/5/2016,11931,12069,12276,11862
10/5/2016,12000,11794,12138,11725
11/5/2016,12414,12069,12414,11931
12/5/2016,12207,12552,12552,12138
13/05/2016,12207,12207,12483,12069
16/05/2016,12069,12207,12207,12000
17/05/2016,12414,12207,12414,12138
18/05/2016,12345,12345,12552,12276
19/05/2016,12207,12345,12414,12207
20/05/2016,12069,12207,12276,12000
23/05/2016,11794,12138,12138,11794
24/05/2016,11931,11794,11931,11725
25/05/2016,11931,11931,12069,11931
26/05/2016,11794,11862,11931,11656
27/05/2016,12000,11794,12069,11725
30/05/2016,12138,12000,12207,11931
31/05/2016,12276,12138,12345,12138
1/6/2016,12276,12276,12414,12207
2/6/2016,12345,12276,12345,12207
3/6/2016,12276,12345,12345,12207
6/6/2016,12138,12207,12276,12000
7/6/2016,12000,12138,12138,12000
8/6/2016,12138,12069,12207,12069
9/6/2016,12276,12138,12345,12069
10/6/2016,12276,12138,12345,12138
13/06/2016,12138,12276,12276,12069
14/06/2016,12000,12069,12069,11862
15/06/2016,12000,12000,12069,11862
16/06/2016,11862,11931,12069,11862
17/06/2016,11656,11931,11931,11656
20/06/2016,11725,11725,11794,11656
21/06/2016,11725,11794,11862,11656
22/06/2016,11656,11862,11862,11587
23/06/2016,11862,11725,11862,11656
24/06/2016,11518,11794,11862,11035
27/06/2016,11518,11311,11518,11311
28/06/2016,11380,11449,11518,11380
29/06/2016,11656,11518,11794,11518
30/06/2016,11587,11725,11794,11587
1/7/2016,11725,11587,11794,11587
4/7/2016,11794,11794,11862,11656
5/7/2016,12000,11794,12138,11794
6/7/2016,11862,12000,12000,11794
7/7/2016,11931,11862,11931,11725
8/7/2016,11862,12000,12000,11794
11/7/2016,12000,11862,12276,11862
12/7/2016,12207,12069,12207,12000
13/07/2016,13035,12276,13035,12207
14/07/2016,12828,13311,13931,12828
15/07/2016,12897,13104,13311,12897
18/07/2016,12897,12759,13104,12621
19/07/2016,12552,13104,13104,12276
20/07/2016,12276,12552,12552,12207
21/07/2016,12276,12207,12414,12138
22/07/2016,12276,12276,12276,12000
25/07/2016,12069,12345,12345,12069
26/07/2016,12138,12069,12138,12000
27/07/2016,12414,12138,12552,12069
28/07/2016,12276,12414,12414,12276
29/07/2016,12276,12345,12414,12207
1/8/2016,12207,12276,12276,12138
2/8/2016,11862,12207,12207,11794
3/8/2016,11794,11794,11931,11725
4/8/2016,11931,11725,12069,11725
5/8/2016,11794,11725,12000,11725
8/8/2016,11862,11862,11862,11725
9/8/2016,11656,11794,11931,11656
10/8/2016,12000,11725,12000,11725
11/8/2016,12138,12000,12276,11931
12/8/2016,12069,12138,12207,11862
15/08/2016,12069,12069,12069,11862
16/08/2016,11931,11931,12069,11931
17/08/2016,11931,12000,12000,11862
18/08/2016,11931,11931,12000,11862
19/08/2016,11794,11862,11931,11725
22/08/2016,11862,11862,11862,11794
23/08/2016,11794,11862,11862,11794
24/08/2016,11931,11794,11931,11794
25/08/2016,11794,11931,11931,11794
26/08/2016,12000,11862,12138,11862
29/08/2016,11931,12000,12069,11931
30/08/2016,12000,11931,12069,11931
31/08/2016,12000,12000,12069,11931
1/9/2016,11862,11862,12000,11794
5/9/2016,11794,11931,11931,11794
6/9/2016,11794,11931,11931,11725
7/9/2016,11862,11725,11931,11725
8/9/2016,11862,11931,11931,11794
9/9/2016,12000,11931,12000,11862
12/9/2016,11897,12000,12000,11794
13/09/2016,11828,11931,11931,11794
14/09/2016,11587,11828,11828,11518
15/09/2016,11690,11587,11794,11587
16/09/2016,11690,11725,11725,11656
19/09/2016,11794,11690,11828,11690
20/09/2016,11759,11725,11794,11725
21/09/2016,11725,11759,11794,11725
22/09/2016,11725,11794,11794,11725
23/09/2016,11656,11725,11794,11656
26/09/2016,11656,11656,11725,11656
27/09/2016,11828,11621,11862,11621
28/09/2016,12000,11862,12138,11828
29/09/2016,11828,12069,12069,11828
30/09/2016,11690,11794,11828,11690
3/10/2016,11690,11725,11862,11690
4/10/2016,11931,11690,12000,11656
5/10/2016,12138,11931,12311,11862
6/10/2016,12138,12207,12276,12104
7/10/2016,11931,12138,12138,11931
10/10/2016,11794,11931,12069,11794
11/10/2016,11828,11794,11862,11725
12/10/2016,11828,11897,12000,11794
13/10/2016,11828,11897,11897,11759
14/10/2016,11759,11862,11931,11759
17/10/2016,11759,11759,11828,11725
18/10/2016,11759,11759,11794,11690
19/10/2016,11966,11794,12069,11759
20/10/2016,11931,12000,12035,11897
21/10/2016,11828,11966,11966,11828
24/10/2016,11931,11828,12035,11828
25/10/2016,11862,12000,12000,11794
26/10/2016,11690,11862,11862,11690
27/10/2016,11449,11690,11725,11449
28/10/2016,11725,11656,11725,11449
31/10/2016,11621,11862,11862,11587
1/11/2016,11552,11621,11690,11449
2/11/2016,11518,11552,11621,11483
3/11/2016,11449,11483,11518,11449
4/11/2016,11449,11518,11518,11449
7/11/2016,11518,11449,11552,11449
8/11/2016,11414,11518,11587,11414
9/11/2016,11345,11449,11518,11276
10/11/2016,11449,11345,11483,11345
11/11/2016,11345,11449,11483,11345
14/11/2016,11380,11414,11414,11345
15/11/2016,11380,11380,11414,11345
16/11/2016,11311,11449,11449,11311
17/11/2016,11207,11311,11380,11207
18/11/2016,11207,11207,11276,11138
21/11/2016,11414,11207,11414,11207
22/11/2016,11552,11380,11552,11345
23/11/2016,11552,11518,11587,11483
24/11/2016,11311,11483,11552,11242
25/11/2016,11207,11380,11380,11173
28/11/2016,11104,11242,11242,11069
29/11/2016,11069,11069,11207,11069
30/11/2016,11104,11069,11173,11035
1/12/2016,11173,11104,11207,11104
2/12/2016,11138,11207,11276,11138
5/12/2016,11069,11242,11242,11069
6/12/2016,10828,11069,11173,10828
7/12/2016,10793,10828,10897,10759
8/12/2016,10725,10793,11035,10725
9/12/2016,10621,10725,10828,10621
12/12/2016,10345,10690,10690,10207
13/12/2016,10069,10414,10414,10035
14/12/2016,10104,10069,10242,10069
15/12/2016,10242,10207,10621,10138
16/12/2016,10345,10311,10345,10242
19/12/2016,10552,10483,10759,10449
20/12/2016,10518,10552,10759,10518
21/12/2016,10483,10518,10621,10414
22/12/2016,10414,10518,10552,10345
23/12/2016,10483,10380,10483,10311
26/12/2016,10449,10483,10552,10380
27/12/2016,10483,10449,10518,10414
28/12/2016,10483,10483,10518,10414
29/12/2016,10345,10414,10552,10345
30/12/2016,10380,10345,10518,10276
3/1/2017,11104,10518,11104,10518
4/1/2017,11311,11311,11449,11104
5/1/2017,11380,11242,11380,11035
6/1/2017,11483,11104,11794,11104
9/1/2017,11794,11725,11931,11587
10/1/2017,11656,11725,11725,11587
11/1/2017,12207,11656,12207,11656
12/1/2017,12138,12207,12276,12000
13/01/2017,11931,12138,12138,11897
16/01/2017,11860,12219,12219,11860
17/01/2017,12686,12075,12686,12039
18/01/2017,12435,12686,13117,12363
19/01/2017,12686,12291,12686,12291
20/01/2017,12866,12686,13081,12650
23/01/2017,13153,12866,13692,12830
24/01/2017,13333,13369,13477,13010
25/01/2017,13333,13297,13477,13010
2/2/2017,13441,13369,13656,13225
3/2/2017,13261,13441,13585,13081
6/2/2017,13153,13189,13333,13046
7/2/2017,13046,13081,13405,13010
8/2/2017,12830,13046,13117,12794
9/2/2017,12974,12902,13081,12902
10/2/2017,13333,12974,13441,12938
13/02/2017,13297,13333,13405,13189
14/02/2017,13405,13261,13513,13261
15/02/2017,13872,13405,13944,13405
