Date,Price,Open,High,Low
20/01/2016,10900,11200,11300,10900
21/01/2016,10600,10800,11300,10600
22/01/2016,10900,10800,10900,10600
25/01/2016,11600,10900,11600,10900
26/01/2016,11100,11300,11400,11100
27/01/2016,11200,11300,11500,11200
28/01/2016,11300,11200,11700,11200
29/01/2016,11300,11300,11500,11200
1/2/2016,11200,11300,11400,11200
2/2/2016,11100,11200,11300,11100
3/2/2016,11100,11100,11100,10900
4/2/2016,11200,11100,11200,11000
5/2/2016,11200,11200,11200,11100
15/02/2016,11000,11000,11200,10800
16/02/2016,10900,10900,11000,10900
17/02/2016,10600,10900,10900,10600
18/02/2016,11000,10600,11100,10600
19/02/2016,11000,10800,11100,10800
22/02/2016,10800,10900,11000,10800
23/02/2016,10900,10900,11000,10800
24/02/2016,11200,10800,11400,10800
25/02/2016,11100,11300,11400,11000
26/02/2016,11200,11100,11200,11000
29/02/2016,11000,11200,11200,11000
1/3/2016,10900,11000,11100,10900
2/3/2016,11100,11000,11100,10900
3/3/2016,11000,11200,11200,11000
4/3/2016,11000,11000,11100,10900
7/3/2016,11000,11000,11000,10900
8/3/2016,10900,10900,11000,10900
9/3/2016,10900,11000,11000,10800
10/3/2016,10900,10900,11000,10800
11/3/2016,11000,10900,11000,10800
14/03/2016,11000,11000,11000,10800
15/03/2016,10800,10900,10900,10800
16/03/2016,10700,10800,10800,10700
17/03/2016,10800,10900,10900,10800
18/03/2016,10400,10800,10900,10400
21/03/2016,10600,10600,10700,10600
22/03/2016,10600,10700,10700,10500
23/03/2016,10600,10500,10600,10400
24/03/2016,10300,10500,10600,10300
25/03/2016,10400,10400,10400,10300
28/03/2016,10300,10400,10500,10300
29/03/2016,10100,10300,10400,10100
30/03/2016,10300,10100,10400,10100
31/03/2016,10300,10200,10400,10100
1/4/2016,10300,10300,10300,10100
4/4/2016,10300,10300,10300,10100
5/4/2016,10200,10200,10300,10100
6/4/2016,10300,10200,10300,10100
7/4/2016,10100,10300,10300,10100
8/4/2016,10100,10200,10200,10100
11/4/2016,10100,10100,10200,10000
12/4/2016,10100,10100,10200,9900
13/04/2016,10200,10100,10300,9900
14/04/2016,10200,10100,10300,10100
15/04/2016,10100,10200,10200,10100
19/04/2016,10000,10100,10100,10000
20/04/2016,10000,10000,10100,9900
21/04/2016,10200,9900,10400,9900
22/04/2016,10200,10100,10300,10100
25/04/2016,10300,10100,10300,10100
26/04/2016,10200,10200,10400,10200
27/04/2016,10200,10200,10200,10100
28/04/2016,10300,10100,10400,10100
29/04/2016,10300,10300,10400,10200
4/5/2016,10200,10200,10300,10200
5/5/2016,10300,10200,10300,10200
6/5/2016,10300,10200,10400,10200
9/5/2016,10300,10200,10400,10200
10/5/2016,10400,10400,10400,10200
11/5/2016,10300,10300,10400,10300
12/5/2016,11000,10300,11000,10300
13/05/2016,11700,11300,11700,11200
16/05/2016,12100,12400,12400,11900
17/05/2016,12700,12000,12900,11700
18/05/2016,12600,12600,13000,12600
19/05/2016,12400,12500,12600,12300
20/05/2016,11900,12200,12300,11800
23/05/2016,11700,11900,12200,11700
24/05/2016,11500,11800,11900,11500
25/05/2016,11200,11600,11700,11200
26/05/2016,11000,11300,11600,10900
27/05/2016,11300,11000,11300,10800
30/05/2016,11100,11300,11300,11100
31/05/2016,11000,11100,11300,11000
1/6/2016,11100,11100,11200,11000
2/6/2016,11200,11100,11300,11000
