Date;Price;Open;High;Low;Volume;Change
04/01/2018;1328,70;1308,30;1328,70;1302,00;14890000,0;0,032200
05/01/2018;1340,30;1333,30;1351,30;1330,00;14300000,0;0,008700
09/01/2018;1336,70;1347,30;1352,30;1332,30;10340000,0;-0,002700
10/01/2018;1367,30;1345,00;1383,70;1342,70;14080000,0;0,022900
11/01/2018;1342,00;1345,00;1351,70;1332,70;12090000,0;-0,018500
12/01/2018;1322,70;1335,00;1336,70;1322,00;15020000,0;-0,014400
15/01/2018;1327,00;1333,30;1335,30;1323,70;8930000,0;0,003300
16/01/2018;1329,70;1327,70;1332,70;1321,70;8950000,0;0,002000
17/01/2018;1339,70;1329,70;1339,70;1325,70;10960000,0;0,007500
18/01/2018;1325,70;1345,70;1347,70;1323,70;14200000,0;-0,010500
19/01/2018;1334,30;1331,00;1339,00;1327,00;8970000,0;0,006500
22/01/2018;1326,70;1333,30;1333,30;1320,00;8490000,0;-0,005700
23/01/2018;1350,70;1331,00;1355,30;1330,30;10990000,0;0,018100
24/01/2018;1331,30;1341,70;1343,70;1331,00;8640000,0;-0,014400
25/01/2018;1314,00;1314,30;1317,70;1308,30;12820000,0;-0,013000
26/01/2018;1311,00;1316,70;1322,70;1310,30;9950000,0;-0,002300
29/01/2018;1315,70;1307,30;1325,30;1299,70;9320000,0;0,003600
30/01/2018;1308,30;1319,30;1328,30;1305,30;11970000,0;-0,005600
31/01/2018;1275,30;1296,70;1296,70;1272,30;18860000,0;-0,025200
01/02/2018;1286,30;1283,30;1290,30;1281,30;14130000,0;0,008600
02/02/2018;1296,70;1286,00;1300,00;1280,00;17040000,0;0,008100
05/02/2018;1323,70;1327,70;1343,30;1315,30;29530000,0;0,020800
06/02/2018;1270,00;1277,00;1277,00;1241,00;31960000,0;-0,040600
07/02/2018;1280,00;1311,00;1315,70;1279,70;27020000,0;0,007900
08/02/2018;1291,00;1294,70;1309,00;1283,00;22870000,0;0,008600
09/02/2018;1265,00;1250,30;1265,30;1246,70;25070000,0;-0,020100
13/02/2018;1243,30;1266,00;1272,70;1241,30;23300000,0;-0,017200
14/02/2018;1229,00;1245,00;1251,70;1217,70;19880000,0;-0,011500
15/02/2018;1244,70;1244,00;1251,00;1234,30;12500000,0;0,012800
16/02/2018;1258,00;1259,70;1275,00;1255,30;16680000,0;0,010700
19/02/2018;1283,70;1266,00;1283,70;1263,70;12430000,0;0,020400
20/02/2018;1261,70;1275,70;1277,30;1254,70;11270000,0;-0,017100
21/02/2018;1282,30;1280,00;1285,30;1272,70;16330000,0;0,016300
22/02/2018;1269,00;1269,30;1269,30;1254,00;14110000,0;-0,010400
23/02/2018;1281,70;1278,00;1283,00;1272,00;12660000,0;0,010000
26/02/2018;1297,70;1285,30;1305,70;1282,00;10830000,0;0,012500
27/02/2018;1324,00;1307,30;1330,70;1307,00;15200000,0;0,020300
28/02/2018;1295,00;1314,70;1318,70;1294,70;14450000,0;-0,021900
01/03/2018;1277,00;1284,00;1287,00;1274,00;13790000,0;-0,013900
02/03/2018;1228,70;1253,70;1253,70;1225,30;19870000,0;-0,037800
05/03/2018;1202,70;1215,70;1219,30;1198,30;18670000,0;-0,021200
06/03/2018;1222,00;1233,30;1241,00;1218,70;12130000,0;0,016000
07/03/2018;1211,30;1216,30;1230,70;1209,30;14430000,0;-0,008800
08/03/2018;1222,00;1227,00;1231,00;1215,00;12330000,0;0,008800
