Date;Price;Open;High;Low;Volume;Change
04/01/2018;6742,00;6600,00;6744,00;6588,00;1940000,0;0,0318
05/01/2018;6740,00;6742,00;6775,00;6681,00;2010000,0;-0,0003
09/01/2018;6653,00;6800,00;6811,00;6648,00;2100000,0;-0,0129
10/01/2018;6666,00;6650,00;6699,00;6636,00;1070000,0;0,002
11/01/2018;6564,00;6634,00;6644,00;6528,00;1660000,0;-0,0153
12/01/2018;6595,00;6570,00;6642,00;6564,00;1850000,0;0,0047
15/01/2018;6487,00;6590,00;6596,00;6483,00;1650000,0;-0,0164
16/01/2018;6496,00;6501,00;6517,00;6440,00;1420000,0;0,0014
17/01/2018;6509,00;6484,00;6531,00;6462,00;1620000,0;0,002
18/01/2018;6533,00;6609,00;6635,00;6501,00;2480000,0;0,0037
19/01/2018;6604,00;6567,00;6632,00;6562,00;1310000,0;0,0109
22/01/2018;6522,00;6556,00;6558,00;6494,00;1530000,0;-0,0124
23/01/2018;6590,00;6548,00;6602,00;6531,00;1280000,0;0,0104
24/01/2018;6555,00;6551,00;6604,00;6526,00;1280000,0;-0,0053
25/01/2018;6409,00;6498,00;6499,00;6396,00;1500000,0;-0,0223
26/01/2018;6184,00;6209,00;6265,00;6140,00;4410000,0;-0,0351
29/01/2018;6307,00;6184,00;6341,00;6085,00;3150000,0;0,0199
30/01/2018;6270,00;6275,00;6332,00;6193,00;2420000,0;-0,0059
31/01/2018;6228,00;6273,00;6325,00;6225,00;2140000,0;-0,0067
01/02/2018;6244,00;6261,00;6284,00;6214,00;1500000,0;0,0026
02/02/2018;6149,00;6200,00;6217,00;6142,00;2220000,0;-0,0152
05/02/2018;6091,00;6066,00;6146,00;6048,00;2520000,0;-0,0094
06/02/2018;6088,00;5930,00;6088,00;5815,00;4490000,0;-0,0005
07/02/2018;6024,00;6254,00;6270,00;6021,00;4090000,0;-0,0105
08/02/2018;6107,00;6115,00;6200,00;6074,00;2420000,0;0,0138
09/02/2018;5973,00;5861,00;6009,00;5832,00;3680000,0;-0,0219
13/02/2018;5976,00;6033,00;6075,00;5937,00;3170000,0;0,0005
14/02/2018;5875,00;5958,00;5999,00;5852,00;2290000,0;-0,0169
15/02/2018;5954,00;5943,00;5992,00;5901,00;1750000,0;0,0134
16/02/2018;6004,00;6010,00;6090,00;5972,00;1910000,0;0,0084
19/02/2018;6030,00;6024,00;6063,00;6001,00;1250000,0;0,0043
20/02/2018;5956,00;6004,00;6040,00;5931,00;1410000,0;-0,0123
21/02/2018;5996,00;5983,00;6061,00;5967,00;1220000,0;0,0067
22/02/2018;5934,00;5955,00;5958,00;5909,00;1670000,0;-0,0103
23/02/2018;5988,00;5947,00;6004,00;5937,00;1190000,0;0,0091
26/02/2018;6073,00;6001,00;6109,00;5999,00;2040000,0;0,0142
