Date;Price;Open;High;Low;Volume;Change
04/01/2018;4320,00;4210,00;4320,00;4205,00;1160000,0;0,03850
05/01/2018;4380,00;4340,00;4385,00;4315,00;942600,0;0,01390
09/01/2018;4465,00;4415,00;4470,00;4375,00;968700,0;0,01940
10/01/2018;4520,00;4470,00;4530,00;4465,00;764000,0;0,01230
11/01/2018;4540,00;4525,00;4545,00;4515,00;796800,0;0,00440
12/01/2018;4540,00;4540,00;4555,00;4525,00;1380000,0;0,00000
15/01/2018;4530,00;4540,00;4575,00;4525,00;793100,0;-0,00220
16/01/2018;4585,00;4545,00;4600,00;4535,00;685700,0;0,01210
17/01/2018;4640,00;4610,00;4660,00;4575,00;818600,0;0,01200
18/01/2018;4640,00;4670,00;4695,00;4625,00;1200000,0;0,00000
19/01/2018;4490,00;4625,00;4640,00;4460,00;956400,0;-0,03230
22/01/2018;4500,00;4500,00;4525,00;4475,00;535300,0;0,00220
23/01/2018;4665,00;4515,00;4665,00;4515,00;673800,0;0,03670
24/01/2018;4660,00;4665,00;4685,00;4605,00;894600,0;-0,00110
25/01/2018;4635,00;4695,00;4720,00;4620,00;642900,0;-0,00540
26/01/2018;4770,00;4765,00;4825,00;4725,00;1650000,0;0,02910
29/01/2018;4665,00;4820,00;4820,00;4655,00;981500,0;-0,02200
30/01/2018;4580,00;4625,00;4660,00;4570,00;942000,0;-0,01820
31/01/2018;4495,00;4555,00;4585,00;4485,00;1150000,0;-0,01860
01/02/2018;4565,00;4510,00;4570,00;4490,00;773300,0;0,01560
02/02/2018;4510,00;4495,00;4570,00;4475,00;937500,0;-0,01200
05/02/2018;4360,00;4395,00;4425,00;4350,00;1270000,0;-0,03330
06/02/2018;4250,00;4430,00;4500,00;4165,00;2700000,0;-0,02520
07/02/2018;4280,00;4320,00;4430,00;4275,00;1180000,0;0,00710
08/02/2018;4355,00;4300,00;4410,00;4285,00;1170000,0;0,01750
09/02/2018;4185,00;4215,00;4240,00;4135,00;1530000,0;-0,03900
13/02/2018;4265,00;4255,00;4345,00;4225,00;1320000,0;0,01910
14/02/2018;4265,00;4250,00;4290,00;4190,00;983700,0;0,00000
15/02/2018;4370,00;4280,00;4375,00;4275,00;784700,0;0,02460
16/02/2018;4480,00;4370,00;4485,00;4370,00;629700,0;0,02520
19/02/2018;4695,00;4525,00;4705,00;4510,00;679100,0;0,04800
20/02/2018;4725,00;4695,00;4730,00;4660,00;762400,0;0,00640
21/02/2018;4715,00;4725,00;4765,00;4685,00;814100,0;-0,00210
22/02/2018;4695,00;4685,00;4735,00;4660,00;710600,0;-0,00420
23/02/2018;4750,00;4725,00;4785,00;4725,00;519200,0;0,01170
26/02/2018;4755,00;4755,00;4815,00;4715,00;606700,0;0,00110
27/02/2018;4685,00;4750,00;4755,00;4660,00;934000,0;-0,01470
28/02/2018;4730,00;4675,00;4780,00;4665,00;789000,0;0,00960
01/03/2018;4790,00;4750,00;4800,00;4745,00;1110000,0;0,01270
02/03/2018;4715,00;4700,00;4735,00;4655,00;1310000,0;-0,01570
05/03/2018;4690,00;4690,00;4720,00;4640,00;809100,0;-0,00530
06/03/2018;4830,00;4760,00;4845,00;4755,00;687600,0;0,02990
07/03/2018;4890,00;4840,00;4960,00;4820,00;1070000,0;0,01240
08/03/2018;4795,00;4890,00;4900,00;4775,00;1070000,0;-0,01940
09/03/2018;4750,00;4795,00;4860,00;4725,00;1510000,0;-0,00940
12/03/2018;4735,00;4875,00;4875,00;4700,00;662300,0;-0,00320
13/03/2018;4780,00;4765,00;4785,00;4720,00;739400,0;0,00950
14/03/2018;4730,00;4730,00;4740,00;4685,00;553600,0;-0,01050
15/03/2018;4750,00;4720,00;4765,00;4685,00;750900,0;0,00420
16/03/2018;4690,00;4770,00;4770,00;4655,00;1030000,0;-0,01260
19/03/2018;4665,00;4650,00;4690,00;4610,00;520200,0;-0,00530
20/03/2018;4615,00;4580,00;4615,00;4570,00;786100,0;-0,01070
22/03/2018;4765,00;4615,00;4775,00;4615,00;905200,0;0,03250
23/03/2018;4530,00;4635,00;4680,00;4515,00;1340000,0;-0,04930
26/03/2018;4495,00;4490,00;4495,00;4400,00;670400,0;-0,00770
27/03/2018;4600,00;4550,00;4600,00;4515,00;682600,0;0,02340
28/03/2018;4490,00;4490,00;4540,00;4435,00;922600,0;-0,02390
29/03/2018;4605,00;4605,00;4650,00;4555,00;721900,0;0,02560
30/03/2018;4675,00;4650,00;4685,00;4625,00;548600,0;0,01520
02/04/2018;4645,00;4650,00;4705,00;4645,00;346900,0;-0,00640
03/04/2018;4590,00;4585,00;4610,00;4540,00;553100,0;-0,01180
04/04/2018;4650,00;4610,00;4665,00;4595,00;561400,0;0,01310
05/04/2018;4810,00;4710,00;4830,00;4700,00;729300,0;0,03440
06/04/2018;4815,00;4815,00;4860,00;4790,00;757900,0;0,00100
09/04/2018;4985,00;4835,00;5000,00;4835,00;914100,0;0,03530
10/04/2018;5070,00;4990,00;5110,00;4960,00;788500,0;0,01710
11/04/2018;4875,00;4980,00;4990,00;4820,00;742800,0;-0,03850
12/04/2018;4910,00;4895,00;4940,00;4860,00;540500,0;0,00720
13/04/2018;4880,00;4935,00;4940,00;4845,00;672100,0;-0,00610
16/04/2018;4890,00;4910,00;4915,00;4865,00;294900,0;0,00200
17/04/2018;4865,00;4835,00;4875,00;4800,00;668200,0;-0,00510
18/04/2018;4905,00;4870,00;4925,00;4860,00;773000,0;0,00820
19/04/2018;4850,00;4880,00;4910,00;4845,00;900600,0;-0,01120
20/04/2018;4930,00;4850,00;4955,00;4820,00;809800,0;0,01650
23/04/2018;4975,00;4960,00;4985,00;4895,00;527500,0;0,00910
24/04/2018;5190,00;5160,00;5240,00;5140,00;1000000,0;0,04320
25/04/2018;5210,00;5220,00;5240,00;5150,00;656600,0;0,00390
26/04/2018;5210,00;5200,00;5250,00;5170,00;508700,0;0,00000
27/04/2018;5290,00;5270,00;5360,00;5270,00;917900,0;0,01540
01/05/2018;5230,00;5100,00;5250,00;5100,00;818900,0;-0,01130
02/05/2018;5380,00;5250,00;5440,00;5160,00;1230000,0;0,02870
07/05/2018;5670,00;5600,00;5700,00;5540,00;1310000,0;0,05390
08/05/2018;5720,00;5660,00;5740,00;5620,00;873400,0;0,00880
09/05/2018;5770,00;5740,00;5780,00;5740,00;575400,0;0,00870
10/05/2018;5850,00;5820,00;5870,00;5790,00;674500,0;0,01390
11/05/2018;5790,00;5830,00;5880,00;5680,00;845800,0;-0,01030
14/05/2018;5860,00;5770,00;5920,00;5710,00;576000,0;0,01210
15/05/2018;5830,00;5860,00;5880,00;5790,00;494900,0;-0,00510
