Date,Price,Open,High,Low,Vol.,Change %
12/22/2023,23200,"23,200.00",23300.00,"23,200.00",4.51M,-0.22%
12/21/2023,23250,"23,200.00",23250.00,"23,050.00",7.08M,0.22%
12/20/2023,23200,"23,050.00",23250.00,"23,050.00",8.86M,0.65%
12/19/2023,23050,"22,800.00",23100.00,"22,800.00",11.47M,1.10%
12/18/2023,22800,"22,700.00",22800.00,"22,650.00",6.39M,0.22%
12/15/2023,22750,"22,600.00",22850.00,"22,550.00",6.19M,1.11%
12/14/2023,22500,"22,400.00",22750.00,"22,300.00",6.95M,0.90%
12/13/2023,22300,"22,500.00",22550.00,"22,300.00",3.93M,-0.89%
12/12/2023,22500,"22,450.00",22500.00,"22,300.00",3.23M,0.45%
12/11/2023,22400,"22,450.00",22500.00,"22,250.00",2.27M,0.00%
12/8/2023,22400,"22,400.00",22550.00,"22,300.00",3.81M,0.00%
12/7/2023,22400,"22,300.00",22500.00,"22,200.00",7.24M,0.45%
12/6/2023,22300,"22,150.00",22300.00,"22,000.00",2.79M,0.68%
12/5/2023,22150,"22,300.00",22450.00,"22,050.00",3.56M,-0.67%
12/4/2023,22300,"22,050.00",22450.00,"22,000.00",9.04M,1.59%
12/1/2023,21950,"22,150.00",22150.00,"21,750.00",5.73M,0.00%
11/30/2023,21950,"22,050.00",22300.00,"21,950.00",5.24M,-0.45%
11/29/2023,22050,"22,000.00",22350.00,"22,000.00",4.83M,0.68%
11/28/2023,21900,"21,900.00",22100.00,"21,700.00",4.19M,0.23%
11/27/2023,21850,"22,050.00",22100.00,"21,850.00",3.26M,-0.91%
11/24/2023,22050,"22,300.00",22300.00,"21,800.00",7.90M,-0.68%
11/23/2023,22200,"22,700.00",22750.00,"22,200.00",5.18M,-2.20%
11/22/2023,22700,"22,500.00",22750.00,"22,350.00",4.39M,0.44%
11/21/2023,22600,"22,650.00",22800.00,"22,500.00",3.71M,0.44%
11/20/2023,22500,"22,400.00",22950.00,"22,150.00",10.21M,-0.88%
11/17/2023,22700,"23,400.00",23400.00,"22,550.00",12.35M,-2.58%
11/16/2023,23300,"23,250.00",23400.00,"23,100.00",8.08M,0.22%
11/15/2023,23250,"23,000.00",23500.00,"22,950.00",32.33M,2.42%
11/14/2023,22700,"22,450.00",22900.00,"22,450.00",10.30M,1.11%
11/13/2023,22450,"22,450.00",22600.00,"22,200.00",3.42M,0.22%
11/10/2023,22400,"22,400.00",22600.00,"22,250.00",5.05M,-0.67%
11/9/2023,22550,"22,900.00",22900.00,"22,550.00",4.76M,-1.10%
11/8/2023,22800,"22,100.00",22900.00,"22,050.00",7.91M,3.17%
11/7/2023,22100,"22,100.00",22250.00,"22,100.00",2.33M,-0.45%
11/6/2023,22200,"22,200.00",22350.00,"22,100.00",3.79M,0.68%
11/3/2023,22050,"22,300.00",22400.00,"22,050.00",4.89M,-1.12%
11/2/2023,22300,"21,750.00",22300.00,"21,600.00",5.15M,3.24%
11/1/2023,21600,"21,400.00",21650.00,"21,350.00",4.83M,0.93%
10/31/2023,21400,"21,350.00",21550.00,"21,250.00",3.49M,0.47%
10/30/2023,21300,"21,600.00",21650.00,"21,300.00",3.86M,-1.16%
10/27/2023,21550,"21,450.00",21700.00,"21,200.00",3.18M,2.13%
10/26/2023,21100,"21,750.00",21750.00,"20,950.00",12.59M,-3.65%
10/25/2023,21900,"22,200.00",22250.00,"21,900.00",2.49M,0.00%
10/24/2023,21900,"21,950.00",22100.00,"21,800.00",2.55M,0.46%
10/23/2023,21800,"22,100.00",22100.00,"21,700.00",2.40M,-0.46%
10/20/2023,21900,"21,800.00",22100.00,"21,800.00",3.67M,0.46%
10/19/2023,21800,"22,050.00",22150.00,"21,800.00",6.21M,-1.13%
10/18/2023,22050,"22,450.00",22450.00,"22,050.00",6.21M,-1.78%
10/17/2023,22450,"22,600.00",22650.00,"22,450.00",3.66M,-0.66%
10/16/2023,22600,"22,550.00",22700.00,"22,400.00",4.22M,-0.22%
10/13/2023,22650,"22,600.00",22700.00,"22,500.00",4.69M,-0.22%
10/12/2023,22700,"22,700.00",22900.00,"22,500.00",5.63M,0.00%
10/11/2023,22700,"22,800.00",22800.00,"22,550.00",2.84M,-0.44%
10/10/2023,22800,"22,500.00",22850.00,"22,500.00",6.54M,1.33%
10/9/2023,22500,"21,700.00",22550.00,"21,700.00",8.98M,3.21%
10/6/2023,21800,"21,600.00",21900.00,"21,550.00",2.44M,0.93%
10/5/2023,21600,"21,750.00",21950.00,"21,600.00",3.35M,0.00%
10/4/2023,21600,"21,550.00",21700.00,"21,500.00",3.18M,0.00%
