Date,Price,Open,High,Low,Vol.,Change %
12/22/2023,18300,"18,150.00",18450.00,"18,100.00",8.55M,0.83%
12/21/2023,18150,"18,100.00",18150.00,"18,000.00",3.98M,0.00%
12/20/2023,18150,"18,150.00",18200.00,"18,050.00",3.09M,0.00%
12/19/2023,18150,"18,000.00",18200.00,"17,950.00",5.90M,0.83%
12/18/2023,18000,"18,050.00",18150.00,"17,950.00",5.28M,-0.28%
12/15/2023,18050,"18,050.00",18200.00,"18,000.00",5.54M,0.00%
12/14/2023,18050,"18,150.00",18200.00,"18,000.00",5.30M,0.00%
12/13/2023,18050,"18,250.00",18350.00,"18,050.00",7.18M,-1.10%
12/12/2023,18250,"18,150.00",18250.00,"18,100.00",4.88M,0.55%
12/11/2023,18150,"18,200.00",18250.00,"18,050.00",4.88M,-0.27%
12/8/2023,18200,"18,250.00",18350.00,"18,150.00",7.47M,-0.27%
12/7/2023,18250,"18,150.00",18350.00,"18,050.00",13.92M,0.83%
12/6/2023,18100,"18,050.00",18150.00,"18,000.00",7.01M,0.28%
12/5/2023,18050,"18,050.00",18100.00,"17,950.00",6.12M,0.00%
12/4/2023,18050,"17,800.00",18100.00,"17,800.00",17.33M,1.40%
12/1/2023,17800,"17,850.00",17850.00,"17,700.00",4.41M,0.00%
11/30/2023,17800,"17,850.00",17950.00,"17,750.00",5.67M,-0.28%
11/29/2023,17850,"17,800.00",17900.00,"17,700.00",5.45M,0.00%
11/28/2023,17850,"17,600.00",17900.00,"17,450.00",6.65M,1.42%
11/27/2023,17600,"17,850.00",17950.00,"17,550.00",7.11M,-1.40%
11/24/2023,17850,"17,900.00",18000.00,"17,600.00",8.02M,-0.28%
11/23/2023,17900,"18,100.00",18150.00,"17,900.00",7.03M,-0.83%
11/22/2023,18050,"18,150.00",18150.00,"17,950.00",7.61M,-0.28%
11/21/2023,18100,"18,200.00",18250.00,"17,950.00",5.86M,0.56%
11/20/2023,18000,"17,750.00",18250.00,"17,750.00",8.98M,-1.10%
11/17/2023,18200,"18,600.00",18600.00,"17,900.00",13.29M,-1.62%
11/16/2023,18500,"18,450.00",18550.00,"18,350.00",5.07M,-0.27%
11/15/2023,18550,"18,700.00",18750.00,"18,450.00",13.59M,0.54%
11/14/2023,18450,"18,150.00",18650.00,"18,150.00",13.83M,1.93%
11/13/2023,18100,"18,000.00",18150.00,"17,850.00",6.65M,0.56%
11/10/2023,18000,"18,200.00",18400.00,"17,950.00",12.81M,-1.91%
11/9/2023,18350,"18,400.00",18500.00,"18,250.00",9.73M,0.00%
11/8/2023,18350,"17,800.00",18400.00,"17,700.00",10.72M,3.09%
11/7/2023,17800,"17,950.00",18000.00,"17,700.00",4.54M,-0.84%
11/6/2023,17950,"17,600.00",18000.00,"17,550.00",8.67M,3.16%
11/3/2023,17400,"17,800.00",17850.00,"17,400.00",11.87M,-1.69%
11/2/2023,17700,"17,350.00",17750.00,"17,300.00",6.93M,2.91%
11/1/2023,17200,"17,200.00",17300.00,"17,100.00",5.32M,0.58%
10/31/2023,17100,"17,200.00",17300.00,"16,950.00",6.59M,0.59%
10/30/2023,17000,"17,250.00",17450.00,"17,000.00",3.34M,-2.58%
10/27/2023,17450,"17,250.00",17500.00,"17,150.00",9.07M,1.45%
10/26/2023,17200,"17,650.00",17650.00,"17,050.00",12.35M,-3.37%
10/25/2023,17800,"17,950.00",18050.00,"17,800.00",4.49M,-0.56%
10/24/2023,17900,"17,800.00",18000.00,"17,750.00",4.39M,0.56%
10/23/2023,17800,"17,950.00",18000.00,"17,700.00",3.72M,-0.84%
10/20/2023,17950,"17,650.00",18000.00,"17,500.00",5.18M,1.70%
10/19/2023,17650,"17,750.00",17900.00,"17,600.00",5.65M,-0.56%
10/18/2023,17750,"18,100.00",18200.00,"17,600.00",10.95M,-1.93%
10/17/2023,18100,"18,300.00",18450.00,"18,100.00",5.44M,-0.55%
10/16/2023,18200,"18,450.00",18450.00,"18,200.00",5.46M,-1.36%
10/13/2023,18450,"18,300.00",18500.00,"18,250.00",5.82M,0.54%
10/12/2023,18350,"18,500.00",18550.00,"18,350.00",5.44M,-0.81%
10/11/2023,18500,"18,400.00",18500.00,"18,300.00",4.80M,0.27%
10/10/2023,18450,"18,400.00",18550.00,"18,350.00",7.37M,0.82%
10/9/2023,18300,"18,150.00",18300.00,"18,000.00",11.16M,0.83%
10/6/2023,18150,"18,050.00",18200.00,"17,950.00",4.86M,0.55%
10/5/2023,18050,"18,200.00",18300.00,"18,000.00",7.42M,-0.55%
10/4/2023,18150,"18,050.00",18250.00,"17,950.00",7.41M,0.55%
10/3/2023,18050,"18,400.00",18500.00,"18,000.00",11.26M,-2.96%
10/2/2023,18600,"18,550.00",18700.00,"18,400.00",4.52M,0.54%
9/29/2023,18500,"18,500.00",18650.00,"18,500.00",4.15M,0.00%
9/28/2023,18500,"18,350.00",18550.00,"18,200.00",6.71M,0.00%
9/27/2023,18500,"18,150.00",18500.00,"18,150.00",8.67M,1.37%
9/26/2023,18250,"18,150.00",18450.00,"18,100.00",11.09M,0.83%
9/25/2023,18100,"18,700.00",18750.00,"18,100.00",13.43M,-3.21%
9/22/2023,18700,"18,750.00",18800.00,"18,300.00",18.96M,-1.32%
9/21/2023,18950,"19,200.00",19350.00,"18,850.00",12.59M,-1.30%
9/20/2023,19200,"19,050.00",19200.00,"18,950.00",8.91M,1.05%
9/19/2023,19000,"19,150.00",19200.00,"18,900.00",11.54M,-0.78%
9/18/2023,19150,"19,400.00",19400.00,"19,000.00",11.79M,-1.29%
9/15/2023,19400,"19,200.00",19700.00,"19,100.00",26.33M,1.31%
9/14/2023,19150,"19,100.00",19350.00,"19,000.00",14.93M,0.52%
9/13/2023,19050,"19,300.00",19350.00,"18,900.00",13.47M,-1.04%
9/12/2023,19250,"18,850.00",19250.00,"18,750.00",10.92M,2.67%
9/11/2023,18750,"19,350.00",19350.00,"18,750.00",15.04M,-1.83%
9/8/2023,19100,"19,300.00",19350.00,"19,100.00",11.17M,-1.04%
9/7/2023,19300,"19,250.00",19600.00,"19,150.00",22.26M,0.26%
9/6/2023,19250,"19,200.00",19250.00,"18,900.00",13.82M,0.52%
9/5/2023,19150,"18,600.00",19250.00,"18,550.00",21.47M,3.51%
8/31/2023,18500,"18,400.00",18550.00,"18,400.00",6.53M,0.54%
8/30/2023,18400,"18,300.00",18500.00,"18,250.00",6.96M,0.82%
8/29/2023,18250,"18,250.00",18350.00,"18,150.00",9.46M,0.27%
8/28/2023,18200,"18,250.00",18300.00,"18,050.00",7.01M,0.55%
8/25/2023,18100,"18,200.00",18200.00,"18,100.00",4.77M,-0.82%
8/24/2023,18250,"18,100.00",18350.00,"18,000.00",6.69M,1.39%
8/23/2023,18000,"18,300.00",18300.00,"18,000.00",5.80M,-1.10%
8/22/2023,18200,"18,300.00",18300.00,"17,750.00",8.06M,0.28%
8/21/2023,18150,"18,000.00",18350.00,"17,850.00",9.22M,0.28%
8/18/2023,18100,"18,800.00",18800.00,"17,900.00",20.42M,-3.98%
8/17/2023,18850,"19,000.00",19000.00,"18,850.00",7.91M,-0.79%
8/16/2023,19000,"18,900.00",19200.00,"18,800.00",9.75M,0.26%
8/15/2023,18950,"18,950.00",19000.00,"18,800.00",5.61M,0.00%
8/14/2023,18950,"18,950.00",19100.00,"18,750.00",8.09M,0.26%
8/11/2023,18900,"19,000.00",19050.00,"18,650.00",8.67M,0.00%
8/10/2023,18900,"19,200.00",19200.00,"18,900.00",9.21M,-1.31%
8/9/2023,19150,"19,200.00",19250.00,"19,000.00",10.70M,-0.26%
8/8/2023,19200,"19,500.00",19500.00,"19,150.00",9.24M,-0.78%
8/7/2023,19350,"19,150.00",19400.00,"19,050.00",15.21M,1.84%
8/4/2023,19000,"18,850.00",19150.00,"18,800.00",14.89M,0.80%
8/3/2023,18850,"18,950.00",19100.00,"18,800.00",11.08M,-0.26%
8/2/2023,18900,"18,850.00",18950.00,"18,750.00",6.16M,0.27%
8/1/2023,18850,"18,900.00",19350.00,"18,850.00",14.32M,0.00%
7/31/2023,18850,"18,850.00",18900.00,"18,700.00",9.98M,0.80%
7/28/2023,18700,"18,550.00",18700.00,"18,550.00",7.02M,0.54%
7/27/2023,18600,"18,750.00",18800.00,"18,500.00",9.46M,-0.80%
7/26/2023,18750,"18,800.00",18850.00,"18,650.00",5.93M,-0.27%
7/25/2023,18800,"18,750.00",19100.00,"18,700.00",9.54M,0.27%
7/24/2023,18750,"18,650.00",18750.00,"18,550.00",8.95M,0.54%
7/21/2023,18650,"18,550.00",18650.00,"18,400.00",8.39M,1.08%
7/20/2023,18450,"18,400.00",18500.00,"18,300.00",6.45M,0.27%
7/19/2023,18400,"18,600.00",18700.00,"18,400.00",11.68M,-1.08%
7/18/2023,18600,"18,600.00",18650.00,"18,450.00",7.52M,0.00%
7/17/2023,18600,"18,750.00",18850.00,"18,500.00",11.01M,-0.27%
7/14/2023,18650,"18,650.00",18750.00,"18,400.00",18.53M,1.65%
7/13/2023,18347.8,"18,304.30",18478.30,"18,173.90",20.63M,-12.63%
7/12/2023,21000,"21,200.00",21300.00,"20,900.00",13.11M,-0.94%
7/11/2023,21200,"20,750.00",21200.00,"20,750.00",17.35M,2.17%
7/10/2023,20750,"20,600.00",20850.00,"20,550.00",16.79M,1.47%
7/7/2023,20450,"20,200.00",20450.00,"20,100.00",11.92M,1.24%
7/6/2023,20200,"20,450.00",20550.00,"20,150.00",15.19M,-0.98%
7/5/2023,20400,"20,500.00",20650.00,"20,300.00",13.00M,0.25%
7/4/2023,20350,"20,200.00",20350.00,"20,100.00",6.88M,0.74%
7/3/2023,20200,"20,300.00",20350.00,"20,100.00",9.79M,0.00%
6/30/2023,20200,"20,300.00",20400.00,"20,150.00",6.68M,-0.49%
6/29/2023,20300,"20,700.00",20700.00,"20,300.00",14.00M,-1.93%
6/28/2023,20700,"20,200.00",20800.00,"20,100.00",20.85M,2.99%
6/27/2023,20100,"20,250.00",20300.00,"20,000.00",10.74M,-0.50%
6/26/2023,20200,"20,200.00",20550.00,"19,950.00",10.58M,0.00%
6/23/2023,20200,"20,150.00",20300.00,"20,050.00",12.31M,1.51%
6/22/2023,19900,"20,100.00",20350.00,"19,900.00",14.81M,0.25%
6/21/2023,19850,"19,700.00",19850.00,"19,650.00",6.05M,1.02%
6/20/2023,19650,"19,600.00",19650.00,"19,450.00",5.49M,0.51%
6/19/2023,19550,"19,700.00",19800.00,"19,550.00",7.04M,-0.76%
6/16/2023,19700,"19,850.00",20200.00,"19,700.00",13.94M,0.00%
6/15/2023,19700,"19,750.00",19850.00,"19,650.00",9.50M,-0.25%
6/14/2023,19750,"20,100.00",20200.00,"19,750.00",10.94M,-0.25%
6/13/2023,19800,"19,897.50",19897.50,"19,653.70",10.60M,-2.70%
6/12/2023,20350,"20,300.00",20400.00,"20,000.00",9.00M,0.49%
6/9/2023,20250,"20,100.00",20250.00,"20,000.00",10.36M,1.25%
6/8/2023,20000,"20,350.00",20450.00,"20,000.00",13.68M,-1.72%
6/7/2023,20350,"20,450.00",20550.00,"20,250.00",13.44M,-0.49%
6/6/2023,20450,"19,900.00",20450.00,"19,800.00",22.79M,3.28%
6/5/2023,19800,"19,900.00",20100.00,"19,750.00",19.46M,0.51%
6/2/2023,19700,"19,100.00",19850.00,"19,050.00",32.99M,4.79%
6/1/2023,18800,"18,600.00",18800.00,"18,550.00",8.44M,1.08%
5/31/2023,18600,"18,800.00",18850.00,"18,600.00",6.88M,-0.80%
5/30/2023,18750,"18,800.00",18850.00,"18,650.00",6.59M,0.00%
5/29/2023,18750,"18,600.00",18750.00,"18,500.00",5.97M,1.63%
5/26/2023,18450,"18,500.00",18500.00,"18,400.00",3.90M,0.00%
5/25/2023,18450,"18,600.00",18600.00,"18,450.00",4.73M,-0.81%
5/24/2023,18600,"18,800.00",18850.00,"18,550.00",5.55M,-0.80%
5/23/2023,18750,"18,900.00",19000.00,"18,700.00",7.43M,-0.53%
5/22/2023,18850,"18,700.00",18900.00,"18,650.00",8.26M,1.07%
5/19/2023,18650,"18,600.00",18700.00,"18,550.00",3.79M,0.27%
5/18/2023,18600,"18,550.00",18650.00,"18,450.00",6.66M,0.81%
5/17/2023,18450,"18,750.00",18800.00,"18,450.00",9.09M,-1.86%
5/16/2023,18800,"18,850.00",18950.00,"18,700.00",6.75M,-0.27%
5/15/2023,18850,"18,750.00",19100.00,"18,700.00",17.77M,1.07%
5/12/2023,18650,"18,550.00",18650.00,"18,400.00",7.28M,0.81%
5/11/2023,18500,"18,600.00",18650.00,"18,450.00",7.40M,0.00%
5/10/2023,18500,"18,300.00",18500.00,"18,250.00",6.85M,1.09%
5/9/2023,18300,"18,300.00",18350.00,"18,200.00",4.52M,0.27%
5/8/2023,18250,"18,200.00",18300.00,"18,150.00",4.22M,0.83%
5/5/2023,18100,"18,200.00",18250.00,"18,100.00",4.01M,-0.55%
5/4/2023,18200,"18,350.00",18450.00,"18,150.00",5.83M,-1.36%
4/28/2023,18450,"18,500.00",18550.00,"18,350.00",4.40M,0.27%
4/27/2023,18400,"18,400.00",18450.00,"18,300.00",3.62M,0.27%
4/26/2023,18350,"18,250.00",18350.00,"18,100.00",5.00M,0.55%
4/25/2023,18250,"18,400.00",18400.00,"18,150.00",4.56M,0.00%
4/24/2023,18250,"18,050.00",18300.00,"18,000.00",5.30M,1.11%
4/21/2023,18050,"18,150.00",18250.00,"18,050.00",3.86M,-0.55%
4/20/2023,18150,"18,100.00",18200.00,"18,050.00",3.12M,0.28%
4/19/2023,18100,"18,250.00",18300.00,"18,100.00",4.16M,-0.28%
4/18/2023,18150,"18,350.00",18400.00,"18,050.00",5.96M,-0.55%
4/17/2023,18250,"18,200.00",18350.00,"18,150.00",5.54M,-0.27%
4/14/2023,18300,"18,600.00",18700.00,"18,300.00",7.85M,-1.35%
4/13/2023,18550,"18,700.00",18750.00,"18,500.00",5.96M,-0.80%
4/12/2023,18700,"18,800.00",18800.00,"18,550.00",7.97M,-0.27%
4/11/2023,18750,"18,600.00",18800.00,"18,450.00",6.64M,0.81%
4/10/2023,18600,"18,700.00",19000.00,"18,600.00",13.11M,0.00%
4/7/2023,18600,"18,500.00",18600.00,"18,350.00",8.54M,0.54%
4/6/2023,18500,"18,850.00",18900.00,"18,500.00",12.04M,-1.60%
4/5/2023,18800,"18,750.00",18850.00,"18,600.00",9.89M,0.27%
4/4/2023,18750,"18,750.00",18800.00,"18,600.00",11.31M,0.27%
4/3/2023,18700,"18,500.00",18700.00,"18,400.00",20.42M,2.47%
3/31/2023,18250,"18,300.00",18400.00,"18,150.00",10.54M,0.00%
3/30/2023,18250,"18,400.00",18500.00,"18,250.00",8.98M,-0.27%
3/29/2023,18300,"18,150.00",18400.00,"18,100.00",10.44M,1.67%
3/28/2023,18000,"18,050.00",18300.00,"18,000.00",12.39M,0.28%
3/27/2023,17950,"17,800.00",18000.00,"17,700.00",8.04M,1.13%
3/24/2023,17750,"17,700.00",17950.00,"17,600.00",16.31M,2.01%
3/23/2023,17400,"17,300.00",17450.00,"17,300.00",3.78M,0.00%
3/22/2023,17400,"17,500.00",17550.00,"17,350.00",5.29M,0.29%
3/21/2023,17350,"17,450.00",17500.00,"17,200.00",8.04M,0.29%
3/20/2023,17300,"17,600.00",17600.00,"17,300.00",5.99M,-0.86%
3/17/2023,17450,"17,700.00",17700.00,"17,450.00",4.27M,0.00%
3/16/2023,17450,"17,700.00",17700.00,"17,400.00",5.75M,-1.97%
3/15/2023,17800,"17,600.00",17850.00,"17,500.00",6.28M,3.49%
3/14/2023,17200,"17,500.00",17550.00,"17,200.00",8.47M,-1.71%
3/13/2023,17500,"17,350.00",17600.00,"17,350.00",8.53M,-1.41%
3/10/2023,17750,"17,800.00",17800.00,"17,600.00",5.29M,-0.28%
3/9/2023,17800,"17,650.00",17950.00,"17,600.00",8.06M,1.14%
