Date,Price,Open,High,Low,Vol.,Change %
12/22/2023,80900.00,"80,900",81100,"80,400",1.58M,0.00%
12/21/2023,80900.00,"81,000",81000,"80,300",2.03M,-0.25%
12/20/2023,81100.00,"81,200",81300,"80,500",1.87M,-0.12%
12/19/2023,81200.00,"81,500",81500,"80,100",1.96M,-0.37%
12/18/2023,81500.00,"82,800",82900,"81,500",1.80M,-0.85%
12/15/2023,82200.00,"84,000",84400,"82,200",2.53M,-2.61%
12/14/2023,84400.00,"84,000",84500,"84,000",840.60K,0.84%
12/13/2023,83700.00,"84,200",84500,"83,700",1.15M,-0.59%
12/12/2023,84200.00,"84,700",84700,"84,000",1.01M,0.00%
12/11/2023,84200.00,"85,000",85300,"84,100",1.40M,-0.94%
12/8/2023,85000.00,"85,200",85500,"85,000",1.18M,-0.23%
12/7/2023,85200.00,"85,700",86000,"85,000",992.30K,-0.81%
12/6/2023,85900.00,"85,300",86000,"85,000",638.00K,0.59%
12/5/2023,85400.00,"86,000",86100,"84,800",992.80K,-0.70%
12/4/2023,86000.00,"85,400",86200,"84,800",888.10K,1.18%
12/1/2023,85000.00,"84,900",85000,"84,100",714.70K,0.35%
11/30/2023,84700.00,"85,100",85400,"84,700",927.60K,-0.47%
11/29/2023,85100.00,"85,400",85900,"85,100",733.10K,-0.82%
11/28/2023,85800.00,"85,500",85900,"84,800",779.40K,0.00%
11/27/2023,85800.00,"86,000",86000,"85,100",443.00K,-0.23%
11/24/2023,86000.00,"85,500",86000,"85,000",734.50K,0.58%
11/23/2023,85500.00,"86,700",86800,"85,500",647.20K,-1.38%
11/22/2023,86700.00,"86,300",86700,"85,500",1.01M,0.12%
11/21/2023,86600.00,"86,100",86700,"85,800",1.15M,0.58%
11/20/2023,86100.00,"85,600",87000,"85,000",1.10M,0.58%
11/17/2023,85600.00,"87,800",87900,"85,500",1.59M,-2.73%
11/16/2023,88000.00,"87,000",88000,"86,700",1.28M,0.34%
11/15/2023,87700.00,"86,500",87700,"86,500",4.07M,1.98%
11/14/2023,86000.00,"86,000",86500,"85,400",987.50K,0.58%
11/13/2023,85500.00,"86,000",86100,"85,400",937.70K,-0.58%
11/10/2023,86000.00,"87,100",87500,"86,000",1.35M,-2.16%
11/9/2023,87900.00,"89,500",89500,"87,900",1.17M,-1.79%
11/8/2023,89500.00,"88,000",89700,"87,900",1.27M,1.36%
11/7/2023,88300.00,"89,000",89300,"88,300",413.90K,-1.34%
11/6/2023,89500.00,"88,900",89800,"88,500",774.80K,0.67%
11/3/2023,88900.00,"89,000",89400,"88,100",1.09M,-0.11%
11/2/2023,89000.00,"88,000",89000,"86,600",1.06M,1.37%
11/1/2023,87800.00,"86,800",87800,"86,100",1.48M,1.15%
10/31/2023,86800.00,"85,900",86900,"84,900",1.35M,1.05%
10/30/2023,85900.00,"83,500",86000,"83,500",592.90K,1.06%
10/27/2023,85000.00,"84,600",85000,"83,800",773.40K,0.59%
10/26/2023,84500.00,"85,000",86000,"83,500",1.42M,-1.52%
10/25/2023,85800.00,"85,100",85800,"84,600",660.10K,-0.23%
10/24/2023,86000.00,"84,500",86500,"83,900",994.00K,1.78%
10/23/2023,84500.00,"84,500",84500,"82,500",966.60K,-0.35%
10/20/2023,84800.00,"83,500",85300,"82,700",938.40K,0.36%
10/19/2023,84500.00,"85,500",86000,"84,100",1.36M,-1.63%
10/18/2023,85900.00,"85,500",86000,"85,000",1.15M,0.00%
10/17/2023,85900.00,"86,100",86500,"85,500",363.40K,-0.23%
10/16/2023,86100.00,"85,600",86600,"85,600",332.30K,-0.58%
10/13/2023,86600.00,"86,000",86600,"85,500",663.10K,0.70%
10/12/2023,86000.00,"86,900",86900,"85,500",714.10K,-0.58%
10/11/2023,86500.00,"86,200",86500,"85,700",719.40K,0.46%
10/10/2023,86100.00,"84,600",86200,"84,600",734.10K,1.77%
10/9/2023,84600.00,"85,400",85400,"84,000",1.10M,-0.94%
10/6/2023,85400.00,"84,500",85400,"83,500",800.90K,1.07%
10/5/2023,84500.00,"86,000",86000,"84,500",890.00K,-2.09%
10/4/2023,86300.00,"86,300",86300,"85,300",923.80K,0.00%
10/3/2023,86300.00,"86,500",86700,"85,800",882.60K,-0.23%
10/2/2023,86500.00,"87,100",87200,"86,500",765.70K,-1.14%
9/29/2023,87500.00,"88,300",88300,"87,100",449.30K,-0.57%
9/28/2023,88000.00,"87,200",88300,"86,600",1.07M,0.23%
9/27/2023,87800.00,"87,600",89000,"87,000",1.20M,0.92%
9/26/2023,87000.00,"89,200",89400,"86,900",1.66M,-2.58%
9/25/2023,89300.00,"89,000",89500,"88,300",2.21M,0.00%
9/22/2023,89300.00,"86,400",89500,"86,000",2.41M,2.64%
9/21/2023,87000.00,"88,000",88000,"86,800",1.07M,-1.14%
9/20/2023,88000.00,"88,100",88400,"86,400",786.00K,-0.11%
9/19/2023,88100.00,"88,800",89200,"86,000",1.12M,-0.79%
9/18/2023,88800.00,"89,500",89700,"88,300",718.10K,-1.11%
9/15/2023,89800.00,"88,900",89800,"88,600",2.14M,0.79%
9/14/2023,89100.00,"89,000",89500,"88,100",1.51M,0.00%
9/13/2023,89100.00,"90,000",90000,"88,900",1.58M,-0.89%
9/12/2023,89900.00,"89,000",90000,"88,900",1.57M,1.58%
9/11/2023,88500.00,"89,600",90000,"88,000",1.65M,-1.12%
