Date,Close,Open,High,Low,Volume,% Change
25/12/2023,"23,350.00","23,250.00","23,450.00","23,200.00","758,000,000.00",0.65%
22/12/2023,"23,200.00","23,200.00","23,300.00","23,200.00","451,000,000.00",-0.22%
21/12/2023,"23,250.00","23,200.00","23,250.00","23,050.00","708,000,000.00",0.22%
20/12/2023,"23,200.00","23,050.00","23,250.00","23,050.00","886,000,000.00",0.65%
19/12/2023,"23,050.00","22,800.00","23,100.00","22,800.00","1,147,000,000.00",1.10%
18/12/2023,"22,800.00","22,700.00","22,800.00","22,650.00","639,000,000.00",0.22%
15/12/2023,"22,750.00","22,600.00","22,850.00","22,550.00","619,000,000.00",1.11%
14/12/2023,"22,500.00","22,400.00","22,750.00","22,300.00","695,000,000.00",0.90%
13/12/2023,"22,300.00","22,500.00","22,550.00","22,300.00","393,000,000.00",-0.89%
12/12/2023,"22,500.00","22,450.00","22,500.00","22,300.00","323,000,000.00",0.45%
11/12/2023,"22,400.00","22,450.00","22,500.00","22,250.00","227,000,000.00",0.00%
8/12/2023,"22,400.00","22,400.00","22,550.00","22,300.00","381,000,000.00",0.00%
7/12/2023,"22,400.00","22,300.00","22,500.00","22,200.00","724,000,000.00",0.45%
6/12/2023,"22,300.00","22,150.00","22,300.00","22,000.00","279,000,000.00",0.68%
5/12/2023,"22,150.00","22,300.00","22,450.00","22,050.00","356,000,000.00",-0.67%
4/12/2023,"22,300.00","22,050.00","22,450.00","22,000.00","904,000,000.00",1.59%
1/12/2023,"21,950.00","22,150.00","22,150.00","21,750.00","573,000,000.00",0.00%
30/11/2023,"21,950.00","22,050.00","22,300.00","21,950.00","524,000,000.00",-0.45%
29/11/2023,"22,050.00","22,000.00","22,350.00","22,000.00","483,000,000.00",0.68%
28/11/2023,"21,900.00","21,900.00","22,100.00","21,700.00","419,000,000.00",0.23%
27/11/2023,"21,850.00","22,050.00","22,100.00","21,850.00","326,000,000.00",-0.91%
24/11/2023,"22,050.00","22,300.00","22,300.00","21,800.00","790,000,000.00",-0.68%
23/11/2023,"22,200.00","22,700.00","22,750.00","22,200.00","518,000,000.00",-2.20%
22/11/2023,"22,700.00","22,500.00","22,750.00","22,350.00","439,000,000.00",0.44%
21/11/2023,"22,600.00","22,650.00","22,800.00","22,500.00","371,000,000.00",0.44%
20/11/2023,"22,500.00","22,400.00","22,950.00","22,150.00","1,021,000,000.00",-0.88%
17/11/2023,"22,700.00","23,400.00","23,400.00","22,550.00","1,235,000,000.00",-2.58%
16/11/2023,"23,300.00","23,250.00","23,400.00","23,100.00","808,000,000.00",0.22%
15/11/2023,"23,250.00","23,000.00","23,500.00","22,950.00","3,233,000,000.00",2.42%
14/11/2023,"22,700.00","22,450.00","22,900.00","22,450.00","1,030,000,000.00",1.11%
13/11/2023,"22,450.00","22,450.00","22,600.00","22,200.00","342,000,000.00",0.22%
10/11/2023,"22,400.00","22,400.00","22,600.00","22,250.00","505,000,000.00",-0.67%
9/11/2023,"22,550.00","22,900.00","22,900.00","22,550.00","476,000,000.00",-1.10%
8/11/2023,"22,800.00","22,100.00","22,900.00","22,050.00","791,000,000.00",3.17%
7/11/2023,"22,100.00","22,100.00","22,250.00","22,100.00","233,000,000.00",-0.45%
6/11/2023,"22,200.00","22,200.00","22,350.00","22,100.00","379,000,000.00",0.68%
3/11/2023,"22,050.00","22,300.00","22,400.00","22,050.00","489,000,000.00",-1.12%
2/11/2023,"22,300.00","21,750.00","22,300.00","21,600.00","515,000,000.00",3.24%
1/11/2023,"21,600.00","21,400.00","21,650.00","21,350.00","483,000,000.00",0.93%
31/10/2023,"21,400.00","21,350.00","21,550.00","21,250.00","349,000,000.00",0.47%
30/10/2023,"21,300.00","21,600.00","21,650.00","21,300.00","386,000,000.00",-1.16%
27/10/2023,"21,550.00","21,450.00","21,700.00","21,200.00","318,000,000.00",2.13%
26/10/2023,"21,100.00","21,750.00","21,750.00","20,950.00","1,259,000,000.00",-3.65%
25/10/2023,"21,900.00","22,200.00","22,250.00","21,900.00","249,000,000.00",0.00%
24/10/2023,"21,900.00","21,950.00","22,100.00","21,800.00","255,000,000.00",0.46%
23/10/2023,"21,800.00","22,100.00","22,100.00","21,700.00","240,000,000.00",-0.46%
20/10/2023,"21,900.00","21,800.00","22,100.00","21,800.00","367,000,000.00",0.46%
19/10/2023,"21,800.00","22,050.00","22,150.00","21,800.00","621,000,000.00",-1.13%
