Date,Close,Open,High,Low,Volume,% Change
25/12/2023,"30,950.00","30,800.00","31,000.00","30,600.00","257,000,000.00",1.14%
22/12/2023,"30,600.00","30,500.00","30,800.00","30,450.00","185,000,000.00",-0.16%
21/12/2023,"30,650.00","30,300.00","30,650.00","30,150.00","248,000,000.00",0.99%
20/12/2023,"30,350.00","30,300.00","30,550.00","30,150.00","175,000,000.00",-0.82%
19/12/2023,"30,600.00","30,000.00","30,600.00","29,800.00","211,000,000.00",1.83%
18/12/2023,"30,050.00","30,600.00","30,650.00","30,050.00","238,000,000.00",-1.80%
15/12/2023,"30,600.00","30,550.00","30,800.00","30,400.00","215,000,000.00",0.16%
14/12/2023,"30,550.00","30,800.00","30,850.00","30,550.00","255,000,000.00",0.16%
13/12/2023,"30,500.00","31,150.00","31,150.00","30,500.00","311,000,000.00",-1.77%
12/12/2023,"31,050.00","30,850.00","31,050.00","30,750.00","217,000,000.00",0.65%
11/12/2023,"30,850.00","30,950.00","31,000.00","30,650.00","161,000,000.00",-0.32%
8/12/2023,"30,950.00","30,850.00","31,000.00","30,600.00","275,000,000.00",0.32%
7/12/2023,"30,850.00","30,550.00","31,050.00","30,300.00","584,000,000.00",1.48%
6/12/2023,"30,400.00","30,000.00","30,500.00","30,000.00","249,000,000.00",1.16%
5/12/2023,"30,050.00","30,250.00","30,300.00","29,900.00","309,000,000.00",-0.50%
4/12/2023,"30,200.00","29,800.00","30,500.00","29,800.00","476,000,000.00",1.51%
1/12/2023,"29,750.00","29,600.00","29,850.00","29,350.00","270,000,000.00",0.85%
30/11/2023,"29,500.00","29,750.00","30,050.00","29,500.00","276,000,000.00",-1.34%
29/11/2023,"29,900.00","29,900.00","30,300.00","29,600.00","178,000,000.00",-0.17%
28/11/2023,"29,950.00","29,300.00","29,950.00","28,800.00","374,000,000.00",2.22%
27/11/2023,"29,300.00","29,950.00","29,950.00","29,300.00","305,000,000.00",-2.50%
24/11/2023,"30,050.00","30,350.00","30,600.00","29,450.00","470,000,000.00",-1.15%
23/11/2023,"30,400.00","31,200.00","31,300.00","30,400.00","328,000,000.00",-1.78%
22/11/2023,"30,950.00","30,900.00","31,000.00","30,650.00","184,000,000.00",0.49%
21/11/2023,"30,800.00","31,350.00","31,350.00","30,800.00","224,000,000.00",-0.65%
20/11/2023,"31,000.00","30,500.00","31,250.00","30,450.00","432,000,000.00",-0.48%
17/11/2023,"31,150.00","31,700.00","31,950.00","30,700.00","508,000,000.00",-1.74%
16/11/2023,"31,700.00","31,500.00","31,800.00","31,500.00","224,000,000.00",0.48%
15/11/2023,"31,550.00","32,000.00","32,200.00","31,500.00","367,000,000.00",0.16%
14/11/2023,"31,500.00","31,150.00","31,750.00","30,900.00","398,000,000.00",1.94%
13/11/2023,"30,900.00","31,300.00","31,300.00","30,650.00","246,000,000.00",-0.48%
10/11/2023,"31,050.00","31,200.00","31,500.00","30,700.00","407,000,000.00",-1.43%
9/11/2023,"31,500.00","31,850.00","31,950.00","31,300.00","425,000,000.00",-0.94%
8/11/2023,"31,800.00","30,600.00","31,900.00","30,200.00","387,000,000.00",3.92%
7/11/2023,"30,600.00","30,600.00","30,950.00","30,450.00","151,000,000.00",-1.29%
6/11/2023,"31,000.00","30,800.00","31,000.00","30,300.00","330,000,000.00",0.00%
3/11/2023,"31,000.00","29,950.00","31,000.00","29,550.00","810,000,000.00",5.62%
2/11/2023,"29,350.00","28,800.00","29,600.00","28,500.00","471,000,000.00",4.08%
1/11/2023,"28,200.00","28,300.00","28,450.00","27,450.00","448,000,000.00",1.81%
31/10/2023,"27,700.00","28,200.00","28,500.00","27,200.00","609,000,000.00",-1.42%
30/10/2023,"28,100.00","29,200.00","29,250.00","28,100.00","659,000,000.00",-4.91%
27/10/2023,"29,550.00","30,000.00","30,400.00","29,100.00","387,000,000.00",-0.84%
26/10/2023,"29,800.00","30,800.00","30,950.00","29,200.00","668,000,000.00",-4.49%
25/10/2023,"31,200.00","31,200.00","31,600.00","31,200.00","212,000,000.00",-0.48%
24/10/2023,"31,350.00","31,350.00","31,800.00","31,050.00","217,000,000.00",1.46%
23/10/2023,"30,900.00","31,100.00","31,500.00","30,500.00","279,000,000.00",-0.64%
20/10/2023,"31,100.00","30,700.00","31,400.00","30,550.00","243,000,000.00",1.47%
19/10/2023,"30,650.00","31,250.00","31,400.00","30,650.00","279,000,000.00",-1.92%
18/10/2023,"31,250.00","31,750.00","31,800.00","31,000.00","472,000,000.00",-1.57%
17/10/2023,"31,750.00","31,950.00","32,200.00","31,750.00","182,000,000.00",-0.16%
16/10/2023,"31,800.00","32,050.00","32,300.00","31,800.00","248,000,000.00",-1.24%
13/10/2023,"32,200.00","32,400.00","32,450.00","32,000.00","195,000,000.00",-0.92%
12/10/2023,"32,500.00","32,700.00","32,850.00","32,500.00","246,000,000.00",-0.31%
11/10/2023,"32,600.00","32,650.00","32,650.00","32,300.00","220,000,000.00",0.31%
10/10/2023,"32,500.00","32,300.00","32,650.00","32,250.00","266,000,000.00",1.25%
9/10/2023,"32,100.00","32,100.00","32,150.00","31,900.00","279,000,000.00",0.16%
6/10/2023,"32,050.00","31,750.00","32,250.00","31,600.00","255,000,000.00",0.79%
5/10/2023,"31,800.00","32,350.00","32,600.00","31,800.00","244,000,000.00",-1.40%
4/10/2023,"32,250.00","32,250.00","32,650.00","32,000.00","280,000,000.00",-0.77%
3/10/2023,"32,500.00","32,900.00","32,900.00","31,900.00","465,000,000.00",-1.96%
2/10/2023,"33,150.00","33,650.00","33,650.00","33,000.00","214,000,000.00",-1.49%
29/09/2023,"33,650.00","33,500.00","33,700.00","33,100.00","291,000,000.00",0.00%
28/09/2023,"33,650.00","32,600.00","33,900.00","31,850.00","656,000,000.00",3.22%
27/09/2023,"32,600.00","32,250.00","32,600.00","32,250.00","355,000,000.00",0.62%
26/09/2023,"32,400.00","32,800.00","33,000.00","32,400.00","476,000,000.00",-1.22%
25/09/2023,"32,800.00","34,000.00","34,200.00","32,750.00","423,000,000.00",-3.53%
22/09/2023,"34,000.00","33,950.00","34,250.00","33,400.00","754,000,000.00",-0.87%
21/09/2023,"34,300.00","34,350.00","34,500.00","34,000.00","317,000,000.00",-0.15%
20/09/2023,"34,350.00","33,900.00","34,500.00","33,850.00","343,000,000.00",1.33%
19/09/2023,"33,900.00","34,300.00","34,350.00","33,800.00","586,000,000.00",-0.59%
18/09/2023,"34,100.00","34,850.00","35,000.00","34,000.00","773,000,000.00",-2.29%
15/09/2023,"34,900.00","35,100.00","35,500.00","34,900.00","452,000,000.00",0.00%
14/09/2023,"34,900.00","35,100.00","35,750.00","34,900.00","764,000,000.00",-0.29%
13/09/2023,"35,000.00","35,400.00","35,450.00","34,850.00","498,000,000.00",-0.85%
12/9/2023,"35,300.00","34,550.00","35,300.00","34,400.00","494,000,000.00",2.17%
11/9/2023,"34,550.00","35,600.00","35,600.00","34,450.00","1,081,000,000.00",-2.26%
8/9/2023,"35,350.00","35,850.00","35,900.00","35,350.00","460,000,000.00",-1.12%
7/9/2023,"35,750.00","35,250.00","36,150.00","35,100.00","904,000,000.00",1.56%
6/9/2023,"35,200.00","35,050.00","35,350.00","34,850.00","465,000,000.00",0.57%
5/9/2023,"35,000.00","34,800.00","35,150.00","34,750.00","800,000,000.00",1.45%
31/08/2023,"34,500.00","34,100.00","34,500.00","34,100.00","412,000,000.00",1.47%
30/08/2023,"34,000.00","34,000.00","34,300.00","33,900.00","427,000,000.00",0.29%
29/08/2023,"33,900.00","34,000.00","34,250.00","33,750.00","370,000,000.00",-0.29%
28/08/2023,"34,000.00","33,850.00","34,100.00","33,600.00","402,000,000.00",1.04%
25/08/2023,"33,650.00","33,700.00","33,850.00","33,400.00","364,000,000.00",-0.44%
24/08/2023,"33,800.00","33,500.00","33,950.00","33,400.00","481,000,000.00",1.81%
23/08/2023,"33,200.00","34,000.00","34,200.00","33,200.00","909,000,000.00",0.30%
22/08/2023,"33,100.00","32,750.00","33,100.00","31,900.00","672,000,000.00",1.07%
21/08/2023,"32,750.00","32,500.00","32,950.00","32,100.00","536,000,000.00",0.77%
18/08/2023,"32,500.00","34,550.00","34,550.00","32,500.00","1,195,000,000.00",-6.34%
17/08/2023,"34,700.00","35,300.00","35,300.00","34,700.00","531,000,000.00",-1.70%
16/08/2023,"35,300.00","34,000.00","35,350.00","33,950.00","1,320,000,000.00",3.67%
15/08/2023,"34,050.00","33,900.00","34,400.00","33,850.00","461,000,000.00",0.74%
14/08/2023,"33,800.00","33,750.00","33,800.00","33,450.00","457,000,000.00",0.45%
11/8/2023,"33,650.00","33,550.00","33,800.00","33,100.00","591,000,000.00",0.45%
10/8/2023,"33,500.00","34,000.00","34,050.00","33,500.00","617,000,000.00",-1.47%
9/8/2023,"34,000.00","34,050.00","34,200.00","33,800.00","467,000,000.00",0.00%
8/8/2023,"34,000.00","34,400.00","34,500.00","33,950.00","554,000,000.00",-1.02%
7/8/2023,"34,350.00","34,200.00","34,450.00","34,000.00","526,000,000.00",2.23%
4/8/2023,"33,600.00","33,650.00","34,200.00","33,450.00","1,232,000,000.00",0.30%
3/8/2023,"33,500.00","34,000.00","34,050.00","33,500.00","417,000,000.00",-1.18%
2/8/2023,"33,900.00","33,900.00","34,100.00","33,750.00","464,000,000.00",-0.29%
1/8/2023,"34,000.00","34,600.00","34,600.00","34,000.00","866,000,000.00",-0.87%
31/07/2023,"34,300.00","34,100.00","34,600.00","34,000.00","765,000,000.00",1.48%
28/07/2023,"33,800.00","33,050.00","33,800.00","33,000.00","563,000,000.00",2.11%
27/07/2023,"33,100.00","33,350.00","33,450.00","32,700.00","780,000,000.00",-1.05%
26/07/2023,"33,450.00","33,500.00","33,550.00","33,200.00","341,000,000.00",-0.15%
25/07/2023,"33,500.00","32,800.00","33,800.00","32,700.00","1,327,000,000.00",3.24%
24/07/2023,"32,450.00","32,450.00","32,500.00","32,150.00","483,000,000.00",0.46%
21/07/2023,"32,300.00","31,850.00","32,300.00","31,850.00","521,000,000.00",1.25%
20/07/2023,"31,900.00","32,400.00","32,400.00","31,800.00","526,000,000.00",-1.24%
19/07/2023,"32,300.00","32,650.00","32,900.00","32,250.00","556,000,000.00",0.00%
18/07/2023,"32,300.00","31,900.00","32,300.00","31,800.00","651,000,000.00",1.25%
17/07/2023,"31,900.00","32,100.00","32,100.00","31,800.00","365,000,000.00",-0.16%
14/07/2023,"31,950.00","32,200.00","32,200.00","31,700.00","447,000,000.00",0.00%
13/07/2023,"31,950.00","31,700.00","32,000.00","31,650.00","441,000,000.00",0.95%
12/7/2023,"31,650.00","31,900.00","32,000.00","31,600.00","434,000,000.00",-0.94%
11/7/2023,"31,950.00","32,200.00","32,350.00","31,950.00","571,000,000.00",-0.16%
10/7/2023,"32,000.00","32,000.00","32,100.00","31,700.00","498,000,000.00",1.43%
7/7/2023,"31,550.00","31,500.00","31,800.00","31,300.00","327,000,000.00",0.00%
6/7/2023,"31,550.00","31,950.00","32,050.00","31,200.00","631,000,000.00",-1.25%
5/7/2023,"31,950.00","32,150.00","32,400.00","31,950.00","432,000,000.00",-0.16%
4/7/2023,"32,000.00","32,000.00","32,100.00","31,850.00","433,000,000.00",0.00%
3/7/2023,"32,000.00","32,700.00","32,700.00","32,000.00","375,000,000.00",-1.08%
30/06/2023,"32,350.00","32,650.00","32,800.00","32,350.00","245,000,000.00",-0.92%
29/06/2023,"32,650.00","33,300.00","33,400.00","32,650.00","354,000,000.00",-1.95%
28/06/2023,"33,300.00","32,950.00","33,300.00","32,750.00","430,000,000.00",1.06%
27/06/2023,"32,950.00","33,300.00","33,400.00","32,900.00","367,000,000.00",-1.05%
26/06/2023,"33,300.00","32,900.00","33,300.00","32,550.00","404,000,000.00",1.22%
23/06/2023,"32,900.00","32,650.00","33,250.00","32,550.00","414,000,000.00",0.92%
22/06/2023,"32,600.00","32,900.00","33,150.00","32,600.00","440,000,000.00",0.31%
21/06/2023,"32,500.00","32,150.00","32,500.00","32,100.00","251,000,000.00",1.09%
20/06/2023,"32,150.00","32,200.00","32,250.00","31,950.00","208,000,000.00",0.16%
19/06/2023,"32,100.00","32,550.00","32,550.00","31,950.00","367,000,000.00",-1.38%
16/06/2023,"32,550.00","32,650.00","33,450.00","32,500.00","693,000,000.00",-0.31%
