Date,Close,Open,High,Low,Volume,% Change
25/12/2023,"19,050","18,800","19,150","18,750",153000000.00,1.60%
22/12/2023,"18,750","18,800","18,900","18,600",188000000.00,0.00%
21/12/2023,"18,750","18,650","18,800","18,600",139000000.00,0.27%
20/12/2023,"18,700","18,800","18,800","18,600",171000000.00,0.27%
19/12/2023,"18,650","18,400","18,650","18,400",210000000.00,0.54%
18/12/2023,"18,550","18,800","18,850","18,500",375000000.00,-1.33%
15/12/2023,"18,800","18,850","19,050","18,800",178000000.00,-0.53%
14/12/2023,"18,900","19,200","19,200","18,900",305000000.00,-0.79%
13/12/2023,"19,050","19,200","19,400","19,050",333000000.00,-0.78%
12/12/2023,"19,200","19,300","19,300","19,050",226000000.00,0.00%
11/12/2023,"19,200","19,400","19,400","19,100",221000000.00,-0.78%
8/12/2023,"19,350","19,300","19,450","19,250",454000000.00,0.26%
7/12/2023,"19,300","19,300","19,500","19,100",703000000.00,0.52%
6/12/2023,"19,200","19,200","19,300","19,100",469000000.00,0.26%
5/12/2023,"19,150","19,200","19,200","19,000",257000000.00,0.00%
4/12/2023,"19,150","19,150","19,200","19,000",828000000.00,1.06%
1/12/2023,"18,950","18,800","19,000","18,650",174000000.00,1.34%
30/11/2023,"18,700","18,800","18,950","18,600",131000000.00,-0.53%
29/11/2023,"18,800","18,800","18,900","18,650",176000000.00,0.53%
28/11/2023,"18,700","18,450","18,700","18,300",162000000.00,1.36%
27/11/2023,"18,450","18,800","18,800","18,450",254000000.00,-1.86%
24/11/2023,"18,800","18,800","18,900","18,550",266000000.00,0.00%
23/11/2023,"18,800","19,300","19,350","18,800",260000000.00,-2.08%
22/11/2023,"19,200","19,100","19,250","18,850",234000000.00,0.79%
21/11/2023,"19,050","19,100","19,350","19,050",203000000.00,0.26%
20/11/2023,"19,000","19,050","19,150","18,750",319000000.00,-0.78%
17/11/2023,"19,150","19,600","19,700","19,100",453000000.00,-2.30%
16/11/2023,"19,600","19,550","19,650","19,400",260000000.00,-0.25%
15/11/2023,"19,650","19,950","20,000","19,600",537000000.00,0.26%
14/11/2023,"19,600","19,250","19,700","19,200",681000000.00,2.08%
13/11/2023,"19,200","19,200","19,350","18,900",297000000.00,1.05%
10/11/2023,"19,000","19,000","19,350","18,950",397000000.00,-1.55%
9/11/2023,"19,300","19,500","19,550","19,200",301000000.00,-0.52%
8/11/2023,"19,400","18,700","19,400","18,650",358000000.00,3.74%
7/11/2023,"18,700","19,000","19,000","18,550",233000000.00,-1.06%
6/11/2023,"18,900","18,950","18,950","18,700",253000000.00,1.61%
3/11/2023,"18,600","18,900","18,900","18,550",334000000.00,0.27%
2/11/2023,"18,550","18,150","18,600","18,000",308000000.00,3.06%
1/11/2023,"18,000","17,900","18,000","17,600",241000000.00,0.56%
31/10/2023,"17,900","17,600","18,000","17,550",363000000.00,1.70%
30/10/2023,"17,600","18,100","18,200","17,600",174000000.00,-2.76%
27/10/2023,"18,100","17,800","18,100","17,500",249000000.00,4.32%
26/10/2023,"17,350","18,100","18,100","17,300",612000000.00,-5.19%
25/10/2023,"18,300","18,500","18,650","18,300",227000000.00,-1.08%
24/10/2023,"18,500","18,150","18,650","18,150",206000000.00,2.49%
23/10/2023,"18,050","18,350","18,450","18,050",271000000.00,-1.63%
20/10/2023,"18,350","18,200","18,500","18,100",401000000.00,0.55%
19/10/2023,"18,250","18,400","18,450","18,000",422000000.00,-1.08%
18/10/2023,"18,450","18,700","18,800","18,300",345000000.00,-1.07%
17/10/2023,"18,650","19,000","19,100","18,650",271000000.00,-1.06%
16/10/2023,"18,850","19,300","19,300","18,850",352000000.00,-2.58%
13/10/2023,"19,350","19,100","19,500","19,100",201000000.00,-1.53%
12/10/2023,"19,650","19,600","19,750","19,550",266000000.00,0.26%
11/10/2023,"19,600","19,400","19,600","19,250",206000000.00,1.03%
10/10/2023,"19,400","19,100","19,500","19,000",414000000.00,2.37%
9/10/2023,"18,950","18,700","18,950","18,550",344000000.00,1.34%
6/10/2023,"18,700","18,550","18,900","18,400",319000000.00,1.08%
5/10/2023,"18,500","19,100","19,100","18,500",340000000.00,-2.12%
4/10/2023,"18,900","18,700","19,150","18,600",222000000.00,0.53%
3/10/2023,"18,800","19,250","19,350","18,700",656000000.00,-3.34%
2/10/2023,"19,450","19,350","19,600","19,300",204000000.00,0.52%
29/09/2023,"19,350","19,500","19,700","19,300",251000000.00,0.00%
28/09/2023,"19,350","19,700","19,700","19,150",404000000.00,-1.02%
27/09/2023,"19,550","19,250","19,600","18,950",443000000.00,1.56%
26/09/2023,"19,250","19,500","19,700","19,150",508000000.00,1.05%
25/09/2023,"19,050","20,300","20,350","19,050",755000000.00,-6.16%
22/09/2023,"20,300","20,400","20,450","20,000",1063000000.00,-1.69%
21/09/2023,"20,650","21,050","21,150","20,600",884000000.00,-1.67%
20/09/2023,"21,000","20,700","21,000","20,650",559000000.00,1.45%
19/09/2023,"20,700","20,950","21,050","20,600",763000000.00,-1.19%
18/09/2023,"20,950","21,300","21,450","20,800",1172000000.00,-2.78%
15/09/2023,"21,550","21,600","21,850","21,350",1288000000.00,-0.69%
14/09/2023,"21,700","21,300","22,000","21,250",2146000000.00,3.33%
13/09/2023,"21,000","20,500","21,000","20,400",1114000000.00,2.94%
12/9/2023,"20,400","20,200","20,500","20,100",376000000.00,0.99%
11/9/2023,"20,200","20,800","20,800","20,200",530000000.00,-1.94%
8/9/2023,"20,600","20,600","20,700","20,550",390000000.00,-0.48%
7/9/2023,"20,700","20,800","21,000","20,600",620000000.00,0.24%
6/9/2023,"20,650","20,600","20,650","20,450",432000000.00,0.24%
5/9/2023,"20,600","20,550","20,800","20,500",446000000.00,1.23%
31/08/2023,"20,350","20,000","20,400","20,000",326000000.00,1.75%
30/08/2023,"20,000","19,900","20,100","19,800",331000000.00,1.01%
29/08/2023,"19,800","19,800","19,950","19,700",382000000.00,0.00%
28/08/2023,"19,800","19,600","19,850","19,600",243000000.00,1.02%
25/08/2023,"19,600","19,750","19,750","19,550",258000000.00,-0.76%
24/08/2023,"19,750","19,700","19,850","19,600",346000000.00,0.00%
23/08/2023,"19,750","19,950","20,000","19,500",322000000.00,-0.50%
22/08/2023,"19,850","19,850","19,900","19,050",554000000.00,0.00%
21/08/2023,"19,850","19,650","19,900","19,400",502000000.00,1.53%
18/08/2023,"19,550","20,600","20,650","19,500",889000000.00,-5.56%
17/08/2023,"20,700","20,700","20,950","20,550",421000000.00,0.24%
16/08/2023,"20,650","20,600","20,850","20,450",372000000.00,0.24%
15/08/2023,"20,600","20,700","20,750","20,550",272000000.00,-0.48%
14/08/2023,"20,700","20,650","20,800","20,500",445000000.00,0.73%
11/8/2023,"20,550","20,850","20,850","20,350",484000000.00,-0.48%
10/8/2023,"20,650","20,900","21,000","20,500",506000000.00,-1.43%
9/8/2023,"20,950","21,200","21,250","20,850",530000000.00,-1.18%
8/8/2023,"21,200","21,600","21,650","21,150",411000000.00,-0.93%
7/8/2023,"21,400","21,050","21,700","21,000",829000000.00,1.90%
4/8/2023,"21,000","20,750","21,000","20,600",585000000.00,1.69%
3/8/2023,"20,650","20,700","20,900","20,600",402000000.00,-0.24%
2/8/2023,"20,700","20,550","20,850","20,500",556000000.00,0.24%
1/8/2023,"20,650","20,850","21,200","20,600",611000000.00,-0.72%
31/07/2023,"20,800","20,850","21,150","20,800",377000000.00,0.24%
28/07/2023,"20,750","20,600","20,750","20,500",270000000.00,0.48%
27/07/2023,"20,650","20,800","20,900","20,500",428000000.00,-0.72%
26/07/2023,"20,800","20,900","21,050","20,750",256000000.00,-0.72%
25/07/2023,"20,950","21,000","21,300","20,950",560000000.00,-0.24%
24/07/2023,"21,000","20,600","21,300","20,450",757000000.00,2.19%
21/07/2023,"20,550","20,450","20,550","20,300",318000000.00,0.24%
20/07/2023,"20,500","20,550","20,600","20,350",285000000.00,-0.24%
19/07/2023,"20,550","20,700","20,750","20,500",529000000.00,0.00%
18/07/2023,"20,550","20,400","20,800","20,250",495000000.00,0.74%
17/07/2023,"20,400","20,250","20,450","20,250",429000000.00,0.74%
14/07/2023,"20,250","20,250","20,350","20,000",455000000.00,0.25%
13/07/2023,"20,200","20,200","20,200","20,000",416000000.00,0.50%
12/7/2023,"20,100","20,300","20,400","19,950",505000000.00,-0.99%
11/7/2023,"20,300","20,400","20,650","20,200",540000000.00,0.00%
10/7/2023,"20,300","19,900","20,400","19,800",1149000000.00,2.53%
7/7/2023,"19,800","19,550","19,800","19,500",252000000.00,1.02%
6/7/2023,"19,600","19,800","19,950","19,550",409000000.00,-1.51%
5/7/2023,"19,900","19,650","20,050","19,650",742000000.00,1.27%
4/7/2023,"19,650","19,550","19,650","19,500",287000000.00,0.00%
3/7/2023,"19,650","19,650","19,750","19,550",270000000.00,0.00%
30/06/2023,"19,650","19,750","19,800","19,650",332000000.00,-0.51%
29/06/2023,"19,750","19,900","19,950","19,700",579000000.00,-0.50%
28/06/2023,"19,850","19,800","20,000","19,650",452000000.00,0.25%
27/06/2023,"19,800","20,000","20,000","19,650",444000000.00,-0.75%
26/06/2023,"19,950","20,100","20,100","19,600",661000000.00,0.00%
23/06/2023,"19,950","19,800","20,200","19,800",594000000.00,1.01%
22/06/2023,"19,750","19,800","20,000","19,750",893000000.00,1.72%
21/06/2023,"19,417","19,500","19,500","19,375",1007000000.00,0.00%
20/06/2023,"19,417","19,250","19,500","19,250",625000000.00,0.87%
19/06/2023,"19,250","19,250","19,375","19,167",561000000.00,0.00%
16/06/2023,"19,250","19,333","19,667","19,250",1097000000.00,-0.22%
15/06/2023,"19,292","19,417","19,500","19,250",792000000.00,-0.64%
14/06/2023,"19,417","19,583","20,042","19,417",1252000000.00,-0.43%
13/06/2023,"19,500","19,583","19,667","19,333",703000000.00,-0.43%
12/6/2023,"19,583","19,542","19,708","19,083",685000000.00,0.43%
9/6/2023,"19,500","19,125","19,667","18,958",1328000000.00,2.41%
8/6/2023,"19,042","19,667","19,708","19,042",1708000000.00,-3.18%
7/6/2023,"19,667","19,667","19,708","19,417",869000000.00,0.00%
6/6/2023,"19,667","19,333","19,667","19,250",1160000000.00,1.72%
5/6/2023,"19,333","19,667","19,667","19,167",999000000.00,0.65%
2/6/2023,"19,208","18,250","19,208","18,250",2577000000.00,6.96%
1/6/2023,"17,958","17,833","18,000","17,750",510000000.00,0.70%
31/05/2023,"17,833","17,750","18,125","17,750",780000000.00,0.47%
30/05/2023,"17,750","17,792","17,833","17,667",462000000.00,0.00%
29/05/2023,"17,750","17,667","17,750","17,500",465000000.00,1.19%
26/05/2023,"17,542","17,458","17,583","17,375",289000000.00,0.72%
25/05/2023,"17,417","17,458","17,542","17,375",397000000.00,-0.48%
24/05/2023,"17,500","17,875","17,875","17,500",644000000.00,-1.41%
23/05/2023,"17,750","18,000","18,083","17,625",676000000.00,-1.39%
22/05/2023,"18,000","17,958","18,083","17,833",571000000.00,-15.89%
19/05/2023,"21,400","21,500","21,550","21,250",445000000.00,-0.23%
18/05/2023,"21,450","20,800","21,650","20,750",1080000000.00,3.13%
17/05/2023,"20,800","20,800","21,000","20,800",567000000.00,-0.48%
16/05/2023,"20,900","20,950","21,150","20,750",617000000.00,0.24%
15/05/2023,"20,850","20,600","21,150","20,550",1035000000.00,1.71%
