Date,Price,Open,High,Low,Vol.,Change %
1/2/2018,13400.00,12850.00,13500.00,12700.00,16.33M,4.28%
1/3/2018,13350.00,13500.00,13600.00,13250.00,15.70M,-0.37%
1/4/2018,13600.00,13350.00,13850.00,13350.00,26.49M,1.87%
1/5/2018,13600.00,13700.00,13800.00,13450.00,17.26M,0.00%
1/8/2018,14550.00,13700.00,14550.00,13700.00,33.85M,6.99%
1/9/2018,14850.00,15050.00,15250.00,14600.00,36.24M,2.06%
1/10/2018,15600.00,14700.00,15650.00,14500.00,49.56M,5.05%
1/11/2018,16250.00,15400.00,16500.00,15200.00,24.14M,4.17%
1/12/2018,15500.00,16100.00,16500.00,15500.00,34.24M,-4.62%
1/15/2018,15350.00,15350.00,15600.00,14950.00,37.46M,-0.97%
1/16/2018,14950.00,15000.00,15200.00,14750.00,42.13M,-2.61%
1/17/2018,14300.00,15100.00,15200.00,14300.00,27.47M,-4.35%
1/18/2018,15000.00,14150.00,15000.00,13900.00,31.29M,4.90%
1/19/2018,15450.00,15100.00,15600.00,14900.00,28.63M,3.00%
1/22/2018,15100.00,15300.00,15500.00,14850.00,24.13M,-2.27%
1/25/2018,15400.00,15200.00,15900.00,14850.00,48.55M,1.99%
1/26/2018,15700.00,15600.00,15900.00,15200.00,22.85M,1.95%
1/29/2018,16750.00,15800.00,16750.00,15750.00,34.30M,6.69%
1/30/2018,17100.00,16600.00,17300.00,16250.00,30.03M,2.09%
1/31/2018,16250.00,17200.00,17200.00,16250.00,26.19M,-4.97%
2/1/2018,15700.00,16350.00,16400.00,15650.00,26.00M,-3.38%
2/2/2018,16250.00,15800.00,16400.00,15550.00,13.87M,3.50%
2/5/2018,15150.00,15850.00,16050.00,15150.00,22.17M,-6.77%
2/6/2018,15400.00,14100.00,15400.00,14100.00,32.95M,1.65%
2/7/2018,15750.00,15900.00,16100.00,15600.00,14.29M,2.27%
2/8/2018,14900.00,15350.00,15700.00,14900.00,8.48M,-5.40%
2/9/2018,14950.00,14400.00,15150.00,14300.00,13.41M,0.34%
2/12/2018,15900.00,15400.00,15900.00,15200.00,9.91M,6.35%
2/13/2018,15900.00,16000.00,16100.00,15850.00,10.21M,0.00%
2/21/2018,16300.00,16050.00,16600.00,15900.00,16.32M,2.52%
2/22/2018,16100.00,16100.00,16700.00,16000.00,18.52M,-1.23%
2/23/2018,16450.00,16300.00,16450.00,16050.00,13.29M,2.17%
2/26/2018,16050.00,16750.00,16800.00,16050.00,19.20M,-2.43%
2/27/2018,16150.00,16200.00,16250.00,15900.00,12.58M,0.62%
2/28/2018,16100.00,16000.00,16300.00,15900.00,15.27M,-0.31%
3/1/2018,15750.00,15900.00,16150.00,15700.00,17.48M,-2.17%
3/2/2018,15700.00,15500.00,15800.00,15450.00,11.09M,-0.32%
3/5/2018,14950.00,15850.00,15900.00,14950.00,17.43M,-4.78%
3/6/2018,15300.00,15200.00,15450.00,15000.00,12.65M,2.34%
3/7/2018,15050.00,15350.00,15350.00,14950.00,10.58M,-1.63%
3/8/2018,15200.00,15100.00,15300.00,15000.00,6.05M,1.00%
3/9/2018,15400.00,15500.00,15500.00,15250.00,7.22M,1.32%
3/12/2018,15950.00,15550.00,16150.00,15450.00,17.25M,3.57%
3/13/2018,16100.00,16000.00,16200.00,15900.00,11.57M,0.94%
3/14/2018,16050.00,16200.00,16450.00,16050.00,16.44M,-0.31%
3/15/2018,16150.00,16050.00,16400.00,15900.00,12.45M,0.62%
3/16/2018,16300.00,16400.00,16550.00,16250.00,22.64M,0.93%
3/19/2018,16050.00,16500.00,16600.00,16000.00,12.28M,-1.53%
3/20/2018,16000.00,15900.00,16050.00,15900.00,12.48M,-0.31%
3/21/2018,16250.00,16100.00,16500.00,16050.00,19.14M,1.56%
3/22/2018,16000.00,16300.00,16450.00,15950.00,13.09M,-1.54%
3/23/2018,15750.00,15500.00,15800.00,15400.00,17.46M,-1.56%
