"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","85.05","85.23","85.34","84.70","35.14K","-0.20%"
"12/14/2023","85.22","85.06","85.54","84.83","27.43K","0.15%"
"12/13/2023","85.09","85.36","85.55","84.51","42.11K","-0.30%"
"12/12/2023","85.35","85.49","85.68","85.06","23.24K","-0.15%"
"12/11/2023","85.48","85.71","86.08","85.18","25.89K","-0.27%"
"12/08/2023","85.71","85.71","85.93","85.53","45.11K","0.00%"
"12/07/2023","85.71","86.31","86.40","85.19","51.00K","-0.70%"
"12/06/2023","86.31","86.03","86.34","85.96","31.34K","0.34%"
"12/05/2023","86.02","85.97","86.25","85.84","35.91K","0.06%"
"12/04/2023","85.97","85.19","85.98","85.18","52.66K","0.92%"
"12/01/2023","85.19","84.99","85.28","84.61","29.83K","0.24%"
"11/30/2023","84.99","85.05","85.33","84.79","23.40K","-0.06%"
"11/29/2023","85.04","84.65","85.04","84.32","24.75K","0.45%"
"11/28/2023","84.66","84.50","84.66","83.87","22.74K","0.19%"
"11/27/2023","84.50","84.99","85.14","84.36","21.18K","-0.58%"
"11/24/2023","84.99","84.95","84.99","84.21","44.58K","0.05%"
"11/23/2023","84.95","86.04","86.26","84.77","44.50K","-1.27%"
"11/22/2023","86.04","86.23","86.31","85.46","27.83K","-0.21%"
"11/21/2023","86.22","86.13","86.32","85.77","25.31K","0.10%"
"11/20/2023","86.13","86.03","86.13","85.42","25.72K","0.13%"
"11/17/2023","86.02","87.12","87.16","85.48","60.55K","-1.27%"
"11/16/2023","87.13","87.01","87.13","86.50","26.76K","0.15%"
"11/15/2023","87.00","86.64","87.50","86.63","37.19K","0.40%"
"11/14/2023","86.65","85.98","86.76","85.97","33.98K","0.78%"
"11/13/2023","85.98","86.04","86.20","85.36","28.17K","-0.06%"
"11/10/2023","86.03","86.23","86.31","85.62","52.03K","-0.22%"
"11/09/2023","86.22","86.17","86.59","85.97","41.86K","0.06%"
"11/08/2023","86.17","84.62","86.17","84.23","48.35K","1.84%"
"11/07/2023","84.61","85.06","85.18","84.34","30.33K","-0.52%"
"11/06/2023","85.05","84.17","85.05","84.17","25.71K","1.06%"
"11/03/2023","84.16","83.97","84.33","83.64","37.91K","0.23%"
"11/02/2023","83.97","81.70","83.97","81.69","43.23K","2.78%"
"11/01/2023","81.70","80.94","81.70","80.72","33.81K","0.95%"
"10/31/2023","80.93","82.29","82.71","80.48","35.01K","-1.64%"
"10/30/2023","82.28","83.10","83.26","82.17","20.83K","-0.99%"
"10/27/2023","83.10","82.79","83.21","82.30","37.86K","0.37%"
"10/26/2023","82.79","85.57","85.59","82.15","61.91K","-3.25%"
"10/25/2023","85.57","85.55","85.80","85.21","26.96K","0.04%"
"10/24/2023","85.54","85.27","85.60","84.95","21.32K","0.32%"
"10/23/2023","85.27","85.62","85.72","85.02","23.31K","-0.41%"
"10/20/2023","85.62","85.01","85.65","84.13","45.13K","0.73%"
"10/19/2023","85.00","85.95","86.08","84.78","32.79K","-1.11%"
"10/18/2023","85.95","86.66","87.02","85.10","52.37K","-0.81%"
"10/17/2023","86.65","87.35","87.70","86.53","40.75K","-0.80%"
"10/16/2023","87.35","87.91","88.16","87.26","39.45K","-0.63%"
"10/13/2023","87.90","88.08","88.12","87.26","43.49K","-0.20%"
"10/12/2023","88.08","87.75","88.15","87.60","33.27K","0.38%"
"10/11/2023","87.75","87.45","88.41","87.37","34.42K","0.34%"
"10/10/2023","87.45","86.90","87.68","86.89","44.35K","0.64%"
"10/09/2023","86.89","87.20","87.22","86.52","32.40K","-0.36%"
"10/06/2023","87.20","86.80","87.20","86.27","43.59K","0.47%"
