"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","227.02","227.20","228.45","226.19","76.52K","-0.09%"
"12/14/2023","227.23","228.52","230.05","226.53","80.91K","-0.52%"
"12/13/2023","228.42","230.19","232.57","228.09","97.24K","-1.42%"
"12/12/2023","231.71","230.03","232.91","229.90","74.25K","0.15%"
"12/11/2023","231.37","229.93","232.59","229.86","76.36K","0.07%"
"12/08/2023","231.20","232.65","232.96","230.21","90.16K","-0.28%"
"12/07/2023","231.84","232.29","234.71","228.72","185.18K","-0.77%"
"12/06/2023","233.63","231.05","233.63","231.05","100.76K","0.99%"
"12/05/2023","231.34","230.49","232.62","230.49","91.79K","0.01%"
"12/04/2023","231.31","226.08","232.74","226.08","136.47K","2.23%"
"12/01/2023","226.26","226.15","227.47","224.35","74.17K","0.05%"
"11/30/2023","226.15","227.05","228.76","226.15","97.86K","-0.39%"
"11/29/2023","227.03","224.07","227.03","224.07","76.61K","1.18%"
"11/28/2023","224.39","222.20","224.64","220.77","77.85K","0.22%"
"11/27/2023","223.89","225.87","226.82","222.96","55.29K","-0.98%"
"11/24/2023","226.10","221.52","226.10","220.29","122.38K","0.69%"
"11/23/2023","224.54","230.60","232.01","224.54","129.07K","-2.58%"
"11/22/2023","230.49","229.13","230.69","228.03","97.33K","0.30%"
"11/21/2023","229.80","225.92","229.91","225.92","91.30K","0.89%"
"11/20/2023","227.77","226.21","228.46","223.54","93.19K","0.54%"
"11/17/2023","226.54","229.56","231.11","225.45","147.44K","-1.32%"
"11/16/2023","229.56","227.62","229.56","226.52","101.42K","0.74%"
"11/15/2023","227.88","225.45","232.25","225.45","108.42K","0.20%"
"11/14/2023","227.43","226.01","229.47","225.97","82.12K","0.58%"
"11/13/2023","226.11","225.63","228.00","224.12","92.31K","-0.24%"
"11/10/2023","226.65","227.61","229.82","226.20","124.35K","-0.69%"
"11/09/2023","228.22","225.93","231.41","225.93","129.93K","0.52%"
"11/08/2023","227.03","216.63","227.03","216.63","124.59K","4.00%"
"11/07/2023","218.29","217.73","221.51","217.73","88.80K","-0.59%"
"11/06/2023","219.59","217.77","219.59","215.55","76.17K","0.85%"
"11/03/2023","217.75","217.98","219.38","216.43","91.36K","-0.10%"
"11/02/2023","217.97","210.06","218.31","208.10","116.15K","3.97%"
"11/01/2023","209.65","203.48","209.65","203.48","95.16K","1.69%"
"10/31/2023","206.17","211.38","212.92","204.63","102.67K","-2.45%"
"10/30/2023","211.34","217.98","218.19","211.34","64.54K","-3.07%"
"10/27/2023","218.04","214.98","218.45","212.65","79.20K","1.42%"
"10/26/2023","214.98","226.79","226.93","213.08","175.43K","-5.30%"
"10/25/2023","227.01","228.89","230.77","226.75","71.90K","-0.82%"
"10/24/2023","228.89","224.53","228.96","224.08","60.81K","1.16%"
"10/23/2023","226.26","227.30","229.55","225.15","63.53K","-0.96%"
"10/20/2023","228.45","223.41","228.45","220.90","92.00K","2.24%"
"10/19/2023","223.45","227.11","227.45","222.61","76.28K","-1.61%"
"10/18/2023","227.11","230.15","231.79","221.77","128.61K","-1.27%"
"10/17/2023","230.03","236.47","237.70","230.02","90.83K","-2.72%"
"10/16/2023","236.46","239.05","240.61","236.35","85.90K","-1.08%"
"10/13/2023","239.05","238.47","239.69","235.78","88.80K","0.26%"
"10/12/2023","238.44","237.06","239.97","237.06","96.64K","0.61%"
"10/11/2023","237.00","234.33","237.02","233.45","89.38K","1.21%"
"10/10/2023","234.17","233.56","236.60","233.42","96.73K","0.27%"
"10/09/2023","233.55","230.53","233.57","230.49","77.89K","1.35%"
"10/06/2023","230.45","228.01","230.51","225.78","71.44K","1.07%"
"10/05/2023","228.01","230.20","231.89","228.01","67.82K","-0.95%"
"10/04/2023","230.20","226.68","232.22","222.93","92.00K","1.55%"
"10/03/2023","226.68","236.72","236.80","226.30","134.89K","-4.24%"
"10/02/2023","236.72","236.35","238.17","235.74","63.84K","0.16%"
"09/29/2023","236.35","234.58","236.88","234.08","79.61K","0.79%"
"09/28/2023","234.50","235.55","235.68","231.81","82.31K","-0.57%"
"09/27/2023","235.84","229.74","235.84","227.90","98.77K","2.65%"
"09/26/2023","229.75","230.78","235.58","229.71","120.45K","-0.76%"
"09/25/2023","231.50","243.11","243.83","231.50","130.45K","-4.79%"
"09/22/2023","243.15","251.91","251.91","240.90","174.47K","-3.46%"
"09/21/2023","251.87","254.82","255.57","251.34","101.43K","-1.16%"
"09/20/2023","254.82","250.32","254.82","250.05","77.55K","1.84%"
"09/19/2023","250.22","249.73","252.32","247.36","86.51K","-0.10%"
"09/18/2023","250.48","252.47","253.09","249.37","78.25K","-0.90%"
"09/15/2023","252.76","251.86","254.54","251.11","82.27K","0.36%"
"09/14/2023","251.86","256.11","256.97","251.80","121.71K","-1.66%"
"09/13/2023","256.11","256.49","259.03","254.33","116.46K","-0.08%"
"09/12/2023","256.32","251.10","256.36","250.46","97.51K","1.99%"
"09/11/2023","251.33","256.20","258.32","251.33","130.34K","-1.90%"
"09/08/2023","256.20","256.26","257.81","255.35","107.23K","0.02%"
"09/07/2023","256.14","257.20","257.71","254.74","117.39K","0.31%"
"09/06/2023","255.36","252.00","255.37","250.92","105.69K","1.22%"
"09/05/2023","252.28","249.75","252.95","249.75","111.88K","1.01%"
"08/31/2023","249.75","247.95","249.77","247.93","94.76K","0.72%"
"08/30/2023","247.96","246.47","248.09","244.93","95.31K","0.60%"
"08/29/2023","246.48","245.03","248.01","245.03","104.02K","0.65%"
"08/28/2023","244.88","243.02","244.98","241.35","99.66K","0.82%"
"08/25/2023","242.90","243.22","245.14","242.13","94.82K","-0.14%"
"08/24/2023","243.23","237.95","243.23","237.54","99.97K","2.17%"
"08/23/2023","238.07","239.89","241.77","237.65","70.25K","-0.66%"
"08/22/2023","239.65","238.04","239.86","231.75","118.70K","0.71%"
"08/21/2023","237.97","234.48","239.03","232.93","116.51K","0.85%"
"08/18/2023","235.96","249.99","249.99","235.24","238.17K","-5.60%"
"08/17/2023","249.97","252.56","253.61","249.97","137.34K","-1.03%"
"08/16/2023","252.56","251.90","252.68","250.76","103.37K","0.44%"
"08/15/2023","251.45","251.38","253.43","251.38","119.71K","0.40%"
"08/14/2023","250.44","245.01","250.68","245.01","132.87K","2.12%"
"08/11/2023","245.25","243.91","245.60","241.69","108.97K","0.55%"
"08/10/2023","243.91","245.89","247.20","243.77","131.57K","-0.80%"
"08/09/2023","245.88","246.32","247.84","245.36","126.45K","-0.08%"
"08/08/2023","246.07","245.64","247.84","245.64","158.28K","0.16%"
"08/07/2023","245.68","242.53","246.24","242.53","120.02K","1.35%"
"08/04/2023","242.41","239.77","242.70","239.58","106.35K","1.10%"
"08/03/2023","239.77","241.31","242.27","239.18","100.24K","-0.64%"
"08/02/2023","241.31","239.35","241.94","239.04","94.42K","0.82%"
"08/01/2023","239.35","239.56","241.74","239.29","147.18K","-0.08%"
"07/31/2023","239.55","237.54","240.62","237.44","114.84K","0.85%"
"07/28/2023","237.54","235.64","237.84","235.63","121.97K","0.81%"
"07/27/2023","235.64","236.20","237.67","234.21","106.45K","-0.24%"
"07/26/2023","236.20","236.93","237.94","235.34","74.18K","-0.31%"
"07/25/2023","236.93","235.82","237.66","234.77","107.43K","0.17%"
"07/24/2023","236.53","234.86","237.48","233.92","126.56K","0.66%"
"07/21/2023","234.98","233.19","234.99","233.19","91.78K","0.82%"
"07/20/2023","233.07","232.12","233.19","230.74","87.05K","0.69%"
"07/19/2023","231.47","230.98","233.29","230.93","91.27K","0.22%"
"07/18/2023","230.96","230.94","232.15","230.04","95.87K","0.00%"
"07/17/2023","230.95","230.20","231.91","230.15","113.37K","0.33%"
"07/14/2023","230.19","230.11","231.69","228.31","105.55K","0.10%"
"07/13/2023","229.97","228.88","230.23","228.01","99.23K","0.48%"
